"lon","lat","species.name"
-71.9472,-40.7106,"Rytidosperma violaceum"
-70.0003,-33.6158,"Rytidosperma violaceum"
-70.41666,-34.91666,"Rytidosperma violaceum"
-70.78,-36.87,"Rytidosperma violaceum"
-71.45,-37.4,"Rytidosperma violaceum"
-71.31,-37.4,"Rytidosperma violaceum"
-71.07,-35.54,"Rytidosperma violaceum"
-70.65,-36.28,"Rytidosperma violaceum"
-71.55,-41.43,"Rytidosperma violaceum"
-71.1,-35.85,"Rytidosperma violaceum"
-70.57,-39.1,"Rytidosperma violaceum"
-72.7,-37.29,"Rytidosperma violaceum"
-70.05,-36.83,"Rytidosperma violaceum"
-71.56,-41.1,"Rytidosperma violaceum"
-71.44,-40.76,"Rytidosperma violaceum"
-69.85,-34.89,"Rytidosperma violaceum"
-70.8,-36.47,"Rytidosperma violaceum"
-70.77,-36.43,"Rytidosperma violaceum"
-70.68,-37.61,"Rytidosperma violaceum"
-71.54,-39.72,"Rytidosperma violaceum"
