"lon","lat","species.name"
8.371582,47.478233,"Saxifraga paniculata"
7.506666,49.813953,"Saxifraga paniculata"
10.129652,47.457691,"Saxifraga paniculata"
43.506496,41.70377,"Saxifraga paniculata"
-64.681075,45.243157,"Saxifraga paniculata"
43.314014,41.392231,"Saxifraga paniculata"
-89.453832,48.046249,"Saxifraga paniculata"
7.712317,46.500637,"Saxifraga paniculata"
-86.448333,48.731482,"Saxifraga paniculata"
-88.671817,48.804367,"Saxifraga paniculata"
7.461691,44.109283,"Saxifraga paniculata"
8.042431,46.667134,"Saxifraga paniculata"
-89.720836,48.156038,"Saxifraga paniculata"
9.028423,44.724109,"Saxifraga paniculata"
7.516344,49.792736,"Saxifraga paniculata"
7.070731,46.122281,"Saxifraga paniculata"
-65.072181,45.596359,"Saxifraga paniculata"
7.053233,44.796513,"Saxifraga paniculata"
7.075426,45.037109,"Saxifraga paniculata"
7.495806,49.79314,"Saxifraga paniculata"
9.761288,47.061031,"Saxifraga paniculata"
7.390538,45.575237,"Saxifraga paniculata"
10.435081,46.649208,"Saxifraga paniculata"
10.361326,47.42524,"Saxifraga paniculata"
15.123539,40.776577,"Saxifraga paniculata"
10.423579,46.547291,"Saxifraga paniculata"
-90.918045,47.520757,"Saxifraga paniculata"
10.11137,47.366966,"Saxifraga paniculata"
10.412292,47.421001,"Saxifraga paniculata"
6.895807,46.146706,"Saxifraga paniculata"
8.940849,48.01572,"Saxifraga paniculata"
8.951025,48.029598,"Saxifraga paniculata"
12.947946,47.124664,"Saxifraga paniculata"
13.528612,46.211288,"Saxifraga paniculata"
-86.709689,48.791403,"Saxifraga paniculata"
19.989814,49.276297,"Saxifraga paniculata"
8.847857,48.218842,"Saxifraga paniculata"
13.671134,46.604462,"Saxifraga paniculata"
12.231388,46.198326,"Saxifraga paniculata"
-86.297683,48.587638,"Saxifraga paniculata"
12.026253,46.202679,"Saxifraga paniculata"
6.727581,46.934265,"Saxifraga paniculata"
2.6856,45.10503,"Saxifraga paniculata"
12.200619,46.189308,"Saxifraga paniculata"
11.297224,47.429482,"Saxifraga paniculata"
8.427844,46.43499,"Saxifraga paniculata"
-86.297737,48.587627,"Saxifraga paniculata"
8.430333,46.427696,"Saxifraga paniculata"
-86.27825,48.59054,"Saxifraga paniculata"
6.741524,59.434502,"Saxifraga paniculata"
11.490326,47.463455,"Saxifraga paniculata"
10.486898,46.871468,"Saxifraga paniculata"
6.741829,59.430016,"Saxifraga paniculata"
8.449886,46.462551,"Saxifraga paniculata"
6.686933,59.283431,"Saxifraga paniculata"
10.310497,47.54945,"Saxifraga paniculata"
10.376458,47.517723,"Saxifraga paniculata"
7.068586,44.801014,"Saxifraga paniculata"
10.294828,47.59948,"Saxifraga paniculata"
7.081032,44.752953,"Saxifraga paniculata"
8.950853,48.013985,"Saxifraga paniculata"
-86.298087,48.587755,"Saxifraga paniculata"
11.295962,47.430149,"Saxifraga paniculata"
8.995314,48.066643,"Saxifraga paniculata"
-4.431546,42.944801,"Saxifraga paniculata"
10.156622,47.529499,"Saxifraga paniculata"
9.000378,48.055367,"Saxifraga paniculata"
11.649971,46.519421,"Saxifraga paniculata"
10.101542,47.347633,"Saxifraga paniculata"
12.690381,47.040833,"Saxifraga paniculata"
10.461044,46.479008,"Saxifraga paniculata"
10.230091,47.392246,"Saxifraga paniculata"
10.232048,47.34906,"Saxifraga paniculata"
12.313356,47.010284,"Saxifraga paniculata"
12.496498,47.118999,"Saxifraga paniculata"
11.395912,47.313225,"Saxifraga paniculata"
6.682949,45.114361,"Saxifraga paniculata"
9.03076,42.01992,"Saxifraga paniculata"
15.96989,67.099551,"Saxifraga paniculata"
11.566887,47.406948,"Saxifraga paniculata"
10.287709,47.547016,"Saxifraga paniculata"
13.550611,42.110306,"Saxifraga paniculata"
9.862166,48.446835,"Saxifraga paniculata"
9.003972,48.063663,"Saxifraga paniculata"
-104.962197,39.732042,"Saxifraga paniculata"
-84.532749,46.573483,"Saxifraga paniculata"
8.913345,49.136406,"Saxifraga paniculata"
9.427214,48.468426,"Saxifraga paniculata"
7.155464,44.199219,"Saxifraga paniculata"
9.378333,48.49361,"Saxifraga paniculata"
7.338633,45.58521,"Saxifraga paniculata"
7.644424,46.491066,"Saxifraga paniculata"
7.336466,45.580284,"Saxifraga paniculata"
7.393756,45.590618,"Saxifraga paniculata"
7.645369,46.452049,"Saxifraga paniculata"
11.497021,47.392654,"Saxifraga paniculata"
15.951834,67.033362,"Saxifraga paniculata"
0.11793,42.72297,"Saxifraga paniculata"
6.71918,59.43896,"Saxifraga paniculata"
8.97893,50.547588,"Saxifraga paniculata"
10.807414,45.741905,"Saxifraga paniculata"
13.015795,47.730377,"Saxifraga paniculata"
45.645966,42.362583,"Saxifraga paniculata"
14.28295,47.649597,"Saxifraga paniculata"
14.62829,47.590355,"Saxifraga paniculata"
7.511693,49.811516,"Saxifraga paniculata"
8.299422,46.341322,"Saxifraga paniculata"
-84.518073,46.597038,"Saxifraga paniculata"
10.090997,46.975899,"Saxifraga paniculata"
9.846846,47.054893,"Saxifraga paniculata"
9.343357,47.249699,"Saxifraga paniculata"
17.074907,43.252319,"Saxifraga paniculata"
9.643035,48.622532,"Saxifraga paniculata"
8.910427,49.119053,"Saxifraga paniculata"
12.113511,47.632748,"Saxifraga paniculata"
15.901178,67.07277,"Saxifraga paniculata"
15.946614,67.028061,"Saxifraga paniculata"
15.902202,67.077266,"Saxifraga paniculata"
15.902525,67.076717,"Saxifraga paniculata"
15.903046,67.077172,"Saxifraga paniculata"
15.938081,67.026929,"Saxifraga paniculata"
15.904546,67.074912,"Saxifraga paniculata"
15.901214,67.073011,"Saxifraga paniculata"
15.902372,67.077042,"Saxifraga paniculata"
10.524603,46.650631,"Saxifraga paniculata"
15.914832,67.02431,"Saxifraga paniculata"
15.934182,67.027669,"Saxifraga paniculata"
15.905157,67.076364,"Saxifraga paniculata"
10.606306,46.51722,"Saxifraga paniculata"
15.943821,67.02817,"Saxifraga paniculata"
15.909119,67.069844,"Saxifraga paniculata"
15.929223,67.021104,"Saxifraga paniculata"
44.631667,42.734167,"Saxifraga paniculata"
9.780579,48.413479,"Saxifraga paniculata"
10.054207,46.327015,"Saxifraga paniculata"
12.934685,47.548264,"Saxifraga paniculata"
9.315921,46.576515,"Saxifraga paniculata"
11.883315,46.465625,"Saxifraga paniculata"
-79.23,56.63,"Saxifraga paniculata"
6.227188,47.065445,"Saxifraga paniculata"
6.195946,44.814724,"Saxifraga paniculata"
16.023843,66.957563,"Saxifraga paniculata"
16.025397,66.9582,"Saxifraga paniculata"
16.02121,66.955524,"Saxifraga paniculata"
16.028792,66.958759,"Saxifraga paniculata"
16.032691,66.95475,"Saxifraga paniculata"
-60.56806,46.95667,"Saxifraga paniculata"
16.022378,66.952675,"Saxifraga paniculata"
-60.55111,46.94972,"Saxifraga paniculata"
12.324085,47.637287,"Saxifraga paniculata"
43.519133,41.708783,"Saxifraga paniculata"
7.92983,46.110604,"Saxifraga paniculata"
9.872246,46.522491,"Saxifraga paniculata"
10.349741,47.378895,"Saxifraga paniculata"
44.629767,42.72945,"Saxifraga paniculata"
45.929617,41.6143,"Saxifraga paniculata"
13.789043,46.380451,"Saxifraga paniculata"
11.989014,46.504556,"Saxifraga paniculata"
21.12,39.68,"Saxifraga paniculata"
11.828007,46.394687,"Saxifraga paniculata"
-57.168889,51.422778,"Saxifraga paniculata"
-57.156944,51.419167,"Saxifraga paniculata"
9.859028,46.586533,"Saxifraga paniculata"
15.433263,66.814659,"Saxifraga paniculata"
-68.49,63.74,"Saxifraga paniculata"
21.064945,69.444019,"Saxifraga paniculata"
9.99052,47.162174,"Saxifraga paniculata"
-68.492,63.737,"Saxifraga paniculata"
-67.35,62.856,"Saxifraga paniculata"
23.6,41.56,"Saxifraga paniculata"
-57.117778,51.422778,"Saxifraga paniculata"
-67.35,62.86,"Saxifraga paniculata"
44.6833,41.9769,"Saxifraga paniculata"
46.380717,41.87255,"Saxifraga paniculata"
-73.583333,50.785833,"Saxifraga paniculata"
15.869862,67.040476,"Saxifraga paniculata"
15.869427,67.04055,"Saxifraga paniculata"
15.935347,67.040087,"Saxifraga paniculata"
15.946803,67.043293,"Saxifraga paniculata"
15.906801,67.039239,"Saxifraga paniculata"
15.871533,67.040252,"Saxifraga paniculata"
15.869537,67.040415,"Saxifraga paniculata"
15.900789,67.037505,"Saxifraga paniculata"
15.946731,67.043339,"Saxifraga paniculata"
15.906828,67.039265,"Saxifraga paniculata"
15.871485,67.04027,"Saxifraga paniculata"
15.983771,67.112553,"Saxifraga paniculata"
15.869883,67.040458,"Saxifraga paniculata"
15.936158,67.040774,"Saxifraga paniculata"
15.869404,67.040567,"Saxifraga paniculata"
15.906818,67.038996,"Saxifraga paniculata"
15.935421,67.040105,"Saxifraga paniculata"
15.982166,67.112742,"Saxifraga paniculata"
15.86989,67.040637,"Saxifraga paniculata"
15.982233,67.112705,"Saxifraga paniculata"
15.869773,67.040613,"Saxifraga paniculata"
15.878522,67.039201,"Saxifraga paniculata"
15.87857,67.039244,"Saxifraga paniculata"
15.900791,67.037543,"Saxifraga paniculata"
15.869539,67.040417,"Saxifraga paniculata"
15.983769,67.112534,"Saxifraga paniculata"
15.906819,67.038997,"Saxifraga paniculata"
15.936063,67.040801,"Saxifraga paniculata"
-67.433333,52.55,"Saxifraga paniculata"
-67.433333,52.516667,"Saxifraga paniculata"
43.15,41.68333,"Saxifraga paniculata"
-65.088611,52.798611,"Saxifraga paniculata"
44.63055,42.73444,"Saxifraga paniculata"
44.687789,41.82806,"Saxifraga paniculata"
43.51777,41.68722,"Saxifraga paniculata"
-0.414833,42.803667,"Saxifraga paniculata"
-67.357,62.834,"Saxifraga paniculata"
-78.7,48.466667,"Saxifraga paniculata"
44.71722,42.56277,"Saxifraga paniculata"
-0.23,42.77,"Saxifraga paniculata"
-4.75,43,"Saxifraga paniculata"
-70.166667,52.083333,"Saxifraga paniculata"
10.301571,47.212921,"Saxifraga paniculata"
-66.645833,48.893889,"Saxifraga paniculata"
-57.128333,51.454444,"Saxifraga paniculata"
-57.1325,51.426389,"Saxifraga paniculata"
-57.139722,51.390833,"Saxifraga paniculata"
-57.123611,51.454167,"Saxifraga paniculata"
-66.618889,48.897778,"Saxifraga paniculata"
-4.29325,55.85544,"Saxifraga paniculata"
16.004801,66.958447,"Saxifraga paniculata"
-70.883333,47.038889,"Saxifraga paniculata"
-64.233333,48.520833,"Saxifraga paniculata"
-89.283,48.333,"Saxifraga paniculata"
-79.05,53.833333,"Saxifraga paniculata"
-4.31807,55.85632,"Saxifraga paniculata"
