"lon","lat","species.name"
8.668985,46.220169,"Scabiosa lucida"
7.602882,46.469078,"Scabiosa lucida"
7.685795,46.493664,"Scabiosa lucida"
7.645369,46.452049,"Scabiosa lucida"
11.290328,47.474152,"Scabiosa lucida"
13.04,47.57,"Scabiosa lucida"
10.687772,47.533058,"Scabiosa lucida"
9.747899,47.058048,"Scabiosa lucida"
9.752512,47.064159,"Scabiosa lucida"
11.02,47.6,"Scabiosa lucida"
9.761288,47.061031,"Scabiosa lucida"
19.037418,49.192924,"Scabiosa lucida"
11.297224,47.429482,"Scabiosa lucida"
6.18169,44.78451,"Scabiosa lucida"
11.318665,47.352779,"Scabiosa lucida"
6.08946,45.77551,"Scabiosa lucida"
9.973912,47.111465,"Scabiosa lucida"
13.671134,46.604462,"Scabiosa lucida"
7.712317,46.500637,"Scabiosa lucida"
14.566923,46.416534,"Scabiosa lucida"
10.661117,47.29065,"Scabiosa lucida"
0.66551,42.71853,"Scabiosa lucida"
10.101542,47.347633,"Scabiosa lucida"
14.485602,46.504036,"Scabiosa lucida"
6.53889,45.32972,"Scabiosa lucida"
7.02999,45.49044,"Scabiosa lucida"
8.918152,48.994637,"Scabiosa lucida"
6.73939,45.38004,"Scabiosa lucida"
7.644424,46.491066,"Scabiosa lucida"
9.297802,46.159085,"Scabiosa lucida"
6.75097,46.10478,"Scabiosa lucida"
10.232048,47.34906,"Scabiosa lucida"
6.78513,46.10948,"Scabiosa lucida"
6.54684,45.98349,"Scabiosa lucida"
11.050937,47.439297,"Scabiosa lucida"
10.217028,47.34964,"Scabiosa lucida"
10.315941,47.407948,"Scabiosa lucida"
13.111496,47.803356,"Scabiosa lucida"
12.313356,47.010284,"Scabiosa lucida"
12.277565,47.62653,"Scabiosa lucida"
12.496498,47.118999,"Scabiosa lucida"
11.023133,46.865783,"Scabiosa lucida"
15.85917,47.81583,"Scabiosa lucida"
15.859167,47.815833,"Scabiosa lucida"
12.222977,47.543629,"Scabiosa lucida"
