"lon","lat","species.name"
170.423012,-45.794255,"Gingidia trifoliolata"
170.73638,-45.236036,"Gingidia trifoliolata"
168.866644,-46.055865,"Gingidia trifoliolata"
176.339879,-39.356368,"Gingidia trifoliolata"
172.865561,-43.832997,"Gingidia trifoliolata"
169.484151,-46.553266,"Gingidia trifoliolata"
170.731401,-45.268012,"Gingidia trifoliolata"
170.161271,-45.854201,"Gingidia trifoliolata"
170.630851,-45.868476,"Gingidia trifoliolata"
175.116062,-41.305358,"Gingidia trifoliolata"
170.487363,-45.833057,"Gingidia trifoliolata"
175.900576,-40.929479,"Gingidia trifoliolata"
175.903323,-40.929998,"Gingidia trifoliolata"
173.085008,-42.548193,"Gingidia trifoliolata"
170.564182,-45.890301,"Gingidia trifoliolata"
170.563914,-45.889702,"Gingidia trifoliolata"
172.720313,-43.590463,"Gingidia trifoliolata"
170.434324,-45.803473,"Gingidia trifoliolata"
173.021407,-43.809862,"Gingidia trifoliolata"
172.960308,-42.171572,"Gingidia trifoliolata"
172.2951,-41.4743,"Gingidia trifoliolata"
172.2342,-41.2562,"Gingidia trifoliolata"
168.440067,-46.206952,"Gingidia trifoliolata"
170.839,-44.3492,"Gingidia trifoliolata"
174.875,-39.88,"Gingidia trifoliolata"
175.8233,-39.202,"Gingidia trifoliolata"
175.8232,-39.1993,"Gingidia trifoliolata"
176.0043,-39.1028,"Gingidia trifoliolata"
176.0277,-39.177,"Gingidia trifoliolata"
176.035,-39.1696,"Gingidia trifoliolata"
176.0283,-39.1733,"Gingidia trifoliolata"
176.0338,-39.1687,"Gingidia trifoliolata"
176.0316,-39.1714,"Gingidia trifoliolata"
175.9919,-39.1887,"Gingidia trifoliolata"
175.9893,-39.2095,"Gingidia trifoliolata"
175.9834,-39.2079,"Gingidia trifoliolata"
176.0305,-39.1715,"Gingidia trifoliolata"
175.9866,-39.2285,"Gingidia trifoliolata"
176.0272,-39.1752,"Gingidia trifoliolata"
176.0339,-39.1705,"Gingidia trifoliolata"
175.9881,-39.2087,"Gingidia trifoliolata"
175.9346,-39.2587,"Gingidia trifoliolata"
175.9384,-39.2108,"Gingidia trifoliolata"
175.4927,-39.2509,"Gingidia trifoliolata"
