"lon","lat","species.name"
-7.35297,37.80088,"Petrosedum amplexicaule"
15.123539,40.776577,"Petrosedum amplexicaule"
-8.49184,37.36063,"Petrosedum amplexicaule"
-6.55142,41.30042,"Petrosedum amplexicaule"
-7.74717,41.22958,"Petrosedum amplexicaule"
-7.74888,41.13952,"Petrosedum amplexicaule"
-7.28643,40.5931,"Petrosedum amplexicaule"
-4.822,36.83,"Petrosedum amplexicaule"
-6.65456,41.7529,"Petrosedum amplexicaule"
-7.27244,41.13336,"Petrosedum amplexicaule"
-8.25518,38.44092,"Petrosedum amplexicaule"
-7.39154,41.13509,"Petrosedum amplexicaule"
-7.69523,37.71504,"Petrosedum amplexicaule"
-8.13738,38.71046,"Petrosedum amplexicaule"
-7.6968,37.62493,"Petrosedum amplexicaule"
-8.36976,38.44159,"Petrosedum amplexicaule"
-1.45,40.13,"Petrosedum amplexicaule"
-5.006,36.574,"Petrosedum amplexicaule"
-7.69045,37.98536,"Petrosedum amplexicaule"
-6.81694,40.4951,"Petrosedum amplexicaule"
-1.44,40.14,"Petrosedum amplexicaule"
-4.343,36.971,"Petrosedum amplexicaule"
-1.41,40.11,"Petrosedum amplexicaule"
-1.42,40.11,"Petrosedum amplexicaule"
-8.37287,38.08111,"Petrosedum amplexicaule"
-7.21306,38.8802,"Petrosedum amplexicaule"
-6.9095,41.30749,"Petrosedum amplexicaule"
-7.03159,41.21957,"Petrosedum amplexicaule"
-6.43209,41.29782,"Petrosedum amplexicaule"
-6.54124,41.5704,"Petrosedum amplexicaule"
-7.00263,38.15592,"Petrosedum amplexicaule"
-6.95657,39.77696,"Petrosedum amplexicaule"
-6.91807,41.03743,"Petrosedum amplexicaule"
-7.02888,41.3096,"Petrosedum amplexicaule"
-8.49244,37.27049,"Petrosedum amplexicaule"
-1.23,39.813,"Petrosedum amplexicaule"
-8.60523,37.27092,"Petrosedum amplexicaule"
-3.38,37.1,"Petrosedum amplexicaule"
-1.07,40.07,"Petrosedum amplexicaule"
3.34781,44.54858,"Petrosedum amplexicaule"
-1.44,40.13,"Petrosedum amplexicaule"
-1.44,40.12,"Petrosedum amplexicaule"
-1.08,40.05,"Petrosedum amplexicaule"
-0.79,39.93,"Petrosedum amplexicaule"
-0.78,39.94,"Petrosedum amplexicaule"
-3.91143,36.89093,"Petrosedum amplexicaule"
-0.78,39.95,"Petrosedum amplexicaule"
-0.79,39.94,"Petrosedum amplexicaule"
3.50563,44.08086,"Petrosedum amplexicaule"
-6.77475,41.75529,"Petrosedum amplexicaule"
-1.08,40.06,"Petrosedum amplexicaule"
-1.08,40.07,"Petrosedum amplexicaule"
-8.14167,38.35002,"Petrosedum amplexicaule"
-5.1766,36.55341,"Petrosedum amplexicaule"
-7.39373,41.04504,"Petrosedum amplexicaule"
-4.76995,36.85851,"Petrosedum amplexicaule"
-1.08,40.04,"Petrosedum amplexicaule"
-0.82,39.93,"Petrosedum amplexicaule"
-0.82,39.92,"Petrosedum amplexicaule"
-7.2308,38.15958,"Petrosedum amplexicaule"
-0.8,39.91,"Petrosedum amplexicaule"
-4.187,40.559,"Petrosedum amplexicaule"
-3.36,37.08,"Petrosedum amplexicaule"
-3.42,37.11,"Petrosedum amplexicaule"
-1.17,39.7,"Petrosedum amplexicaule"
-1.17,39.69,"Petrosedum amplexicaule"
-4.784,36.614,"Petrosedum amplexicaule"
-5.254745,36.606352,"Petrosedum amplexicaule"
-2.44,38.439999,"Petrosedum amplexicaule"
-7.38712,41.31517,"Petrosedum amplexicaule"
-6.9017,42.50601,"Petrosedum amplexicaule"
-6.87617,42.49801,"Petrosedum amplexicaule"
-1.09,40.08,"Petrosedum amplexicaule"
9.3,40.01667,"Petrosedum amplexicaule"
-1.18,39.69,"Petrosedum amplexicaule"
-2.24,39.338,"Petrosedum amplexicaule"
-0.91,39.93,"Petrosedum amplexicaule"
-0.94,39.95,"Petrosedum amplexicaule"
-0.92,39.93,"Petrosedum amplexicaule"
21.609722,39.486944,"Petrosedum amplexicaule"
21.933889,39.2,"Petrosedum amplexicaule"
21.983889,39.079167,"Petrosedum amplexicaule"
22.104722,39.154722,"Petrosedum amplexicaule"
21.850556,39.254167,"Petrosedum amplexicaule"
21.7875,39.665556,"Petrosedum amplexicaule"
21.594444,39.51,"Petrosedum amplexicaule"
21.946111,39.228333,"Petrosedum amplexicaule"
26.583333,37.716667,"Petrosedum amplexicaule"
22.034722,39.195556,"Petrosedum amplexicaule"
21.882778,39.2425,"Petrosedum amplexicaule"
22.014444,39.664722,"Petrosedum amplexicaule"
21.744444,39.401111,"Petrosedum amplexicaule"
22.027222,39.143333,"Petrosedum amplexicaule"
21.746389,39.418889,"Petrosedum amplexicaule"
