"lon","lat","species.name"
4.95015,43.76015,"Sedum brevifolium"
9.40086,42.69531,"Sedum brevifolium"
-0.14105,42.9212,"Sedum brevifolium"
-7.77049,39.96864,"Sedum brevifolium"
-7.88018,40.42021,"Sedum brevifolium"
-8.34549,41.05438,"Sedum brevifolium"
-8.11234,40.69249,"Sedum brevifolium"
-7.64085,40.59782,"Sedum brevifolium"
-7.64267,40.50775,"Sedum brevifolium"
-8.71802,37.27124,"Sedum brevifolium"
-7.76562,40.23886,"Sedum brevifolium"
-7.50034,41.58692,"Sedum brevifolium"
-7.50449,41.40683,"Sedum brevifolium"
-7.61449,41.85856,"Sedum brevifolium"
-7.62028,41.58842,"Sedum brevifolium"
-7.74888,41.13952,"Sedum brevifolium"
-7.31546,39.42234,"Sedum brevifolium"
-6.55142,41.30042,"Sedum brevifolium"
-8.33542,42.04512,"Sedum brevifolium"
3.65332,44.2448,"Sedum brevifolium"
-7.27244,41.13336,"Sedum brevifolium"
-6.52746,41.93035,"Sedum brevifolium"
-6.65456,41.7529,"Sedum brevifolium"
-8.09886,41.68324,"Sedum brevifolium"
-7.64629,40.32762,"Sedum brevifolium"
3.80944,44.21804,"Sedum brevifolium"
-7.73494,41.85995,"Sedum brevifolium"
-6.54465,41.48041,"Sedum brevifolium"
-8.58003,41.59593,"Sedum brevifolium"
-6.53438,41.75038,"Sedum brevifolium"
-7.01517,41.7597,"Sedum brevifolium"
-6.42142,41.56778,"Sedum brevifolium"
-7.01239,41.84971,"Sedum brevifolium"
-6.54124,41.5704,"Sedum brevifolium"
-7.97872,41.68224,"Sedum brevifolium"
-7.97586,41.86235,"Sedum brevifolium"
-8.11353,40.60241,"Sedum brevifolium"
-8.33822,41.77494,"Sedum brevifolium"
-6.65783,41.6629,"Sedum brevifolium"
-7.86956,41.05069,"Sedum brevifolium"
-8.10873,40.96271,"Sedum brevifolium"
-8.69876,41.86652,"Sedum brevifolium"
-8.21571,41.9543,"Sedum brevifolium"
-8.58061,41.50586,"Sedum brevifolium"
-7.98156,41.50212,"Sedum brevifolium"
-9.51759,38.7125,"Sedum brevifolium"
-7.26049,41.58354,"Sedum brevifolium"
-8.35592,39.97337,"Sedum brevifolium"
-7.88902,39.87974,"Sedum brevifolium"
-8.12058,40.06192,"Sedum brevifolium"
-7.99264,40.78159,"Sedum brevifolium"
-8.35676,39.88328,"Sedum brevifolium"
-7.62599,41.31827,"Sedum brevifolium"
-6.93486,40.49727,"Sedum brevifolium"
-7.98991,40.96173,"Sedum brevifolium"
-7.63349,40.95806,"Sedum brevifolium"
-7.88463,40.14998,"Sedum brevifolium"
-7.88315,40.24006,"Sedum brevifolium"
-6.90661,41.39751,"Sedum brevifolium"
-8.219,41.68412,"Sedum brevifolium"
-8.10994,40.87264,"Sedum brevifolium"
-8.00334,40.06097,"Sedum brevifolium"
-7.4316,39.42397,"Sedum brevifolium"
-7.5325,40.14605,"Sedum brevifolium"
-7.04229,40.85946,"Sedum brevifolium"
-7.7753,39.6984,"Sedum brevifolium"
-6.89495,41.75756,"Sedum brevifolium"
-7.85859,41.68111,"Sedum brevifolium"
-7.52665,40.41624,"Sedum brevifolium"
-8.33448,42.13518,"Sedum brevifolium"
-6.7685,41.93529,"Sedum brevifolium"
-6.76535,42.02529,"Sedum brevifolium"
-7.85539,41.86121,"Sedum brevifolium"
-7.05799,40.31924,"Sedum brevifolium"
-7.17563,40.32115,"Sedum brevifolium"
-7.857,41.77116,"Sedum brevifolium"
-7.28872,40.50305,"Sedum brevifolium"
-8.81926,41.86677,"Sedum brevifolium"
1.37907,42.827,"Sedum brevifolium"
-7.98436,41.32199,"Sedum brevifolium"
-7.16337,40.77137,"Sedum brevifolium"
-8.10629,41.14285,"Sedum brevifolium"
-0.21517,42.95641,"Sedum brevifolium"
-7.0502,40.58935,"Sedum brevifolium"
-7.98014,41.59218,"Sedum brevifolium"
-7.38712,41.31517,"Sedum brevifolium"
-8.34727,40.87422,"Sedum brevifolium"
-7.38933,41.22513,"Sedum brevifolium"
-7.51268,41.04664,"Sedum brevifolium"
-8.22964,40.78342,"Sedum brevifolium"
-7.8649,41.32088,"Sedum brevifolium"
-8.23275,40.51318,"Sedum brevifolium"
-8.21349,42.13442,"Sedum brevifolium"
-8.23068,40.69334,"Sedum brevifolium"
-8.2286,40.87349,"Sedum brevifolium"
-8.35251,40.33373,"Sedum brevifolium"
-8.22755,40.96357,"Sedum brevifolium"
-8.34991,40.60398,"Sedum brevifolium"
-7.62976,41.13817,"Sedum brevifolium"
-8.46449,41.05499,"Sedum brevifolium"
-8.23172,40.60326,"Sedum brevifolium"
-6.78708,41.39527,"Sedum brevifolium"
-8.34815,40.78415,"Sedum brevifolium"
-6.79012,41.30526,"Sedum brevifolium"
-8.81951,41.7767,"Sedum brevifolium"
-7.98576,41.23193,"Sedum brevifolium"
-8.46376,41.14507,"Sedum brevifolium"
-7.86333,41.41094,"Sedum brevifolium"
-8.2146,42.04436,"Sedum brevifolium"
-8.09378,42.04347,"Sedum brevifolium"
-6.91807,41.03743,"Sedum brevifolium"
-8.60523,37.27092,"Sedum brevifolium"
-6.9095,41.30749,"Sedum brevifolium"
-8.60476,37.36106,"Sedum brevifolium"
-8.49184,37.36063,"Sedum brevifolium"
-8.24081,39.79247,"Sedum brevifolium"
-7.02888,41.3096,"Sedum brevifolium"
-8.49244,37.27049,"Sedum brevifolium"
-7.52861,40.32618,"Sedum brevifolium"
-8.2265,41.05364,"Sedum brevifolium"
-8.57827,41.86614,"Sedum brevifolium"
-7.64449,40.41769,"Sedum brevifolium"
2.06708,42.4512,"Sedum brevifolium"
-7.4067,40.50474,"Sedum brevifolium"
-8.33914,41.68487,"Sedum brevifolium"
-8.2179,41.77418,"Sedum brevifolium"
-8.46738,40.69467,"Sedum brevifolium"
-7.86018,41.59105,"Sedum brevifolium"
-8.57708,42.04627,"Sedum brevifolium"
-8.00202,40.15105,"Sedum brevifolium"
-8.12403,39.79165,"Sedum brevifolium"
-8.22224,41.41392,"Sedum brevifolium"
-8.69918,41.77645,"Sedum brevifolium"
-8.7041,40.69552,"Sedum brevifolium"
-7.03964,40.94949,"Sedum brevifolium"
-8.46302,41.23515,"Sedum brevifolium"
-7.86646,41.23082,"Sedum brevifolium"
-7.40241,40.68485,"Sedum brevifolium"
-7.40026,40.7749,"Sedum brevifolium"
-7.76067,40.50908,"Sedum brevifolium"
-7.64808,40.23755,"Sedum brevifolium"
-7.51872,40.77648,"Sedum brevifolium"
-8.00725,39.79071,"Sedum brevifolium"
-8.11472,40.51233,"Sedum brevifolium"
-7.99128,40.87166,"Sedum brevifolium"
-7.65869,39.69711,"Sedum brevifolium"
-7.97729,41.77229,"Sedum brevifolium"
-8.12288,39.88174,"Sedum brevifolium"
-3.37,37.07,"Sedum brevifolium"
-3.95,40.85,"Sedum brevifolium"
-6.77475,41.75529,"Sedum brevifolium"
-9.17297,38.89375,"Sedum brevifolium"
-8.0976,41.7733,"Sedum brevifolium"
-8.10136,41.50312,"Sedum brevifolium"
-8.23377,40.42309,"Sedum brevifolium"
-6.9209,40.94741,"Sedum brevifolium"
-7.99804,40.42129,"Sedum brevifolium"
-7.9967,40.51137,"Sedum brevifolium"
-7.03697,41.03952,"Sedum brevifolium"
-8.35337,40.24364,"Sedum brevifolium"
-7.76233,40.41901,"Sedum brevifolium"
3.63579,44.19245,"Sedum brevifolium"
-123.233333,49.25,"Sedum brevifolium"
-8.71632,37.72192,"Sedum brevifolium"
-1.73,40.54,"Sedum brevifolium"
-3.961196,40.815981,"Sedum brevifolium"
-7.39809,40.86495,"Sedum brevifolium"
-7.74371,41.40969,"Sedum brevifolium"
-7.75059,41.04946,"Sedum brevifolium"
3.65382,44.23076,"Sedum brevifolium"
-4.82,34.97,"Sedum brevifolium"
-5.92,41.4,"Sedum brevifolium"
-9.28792,38.80341,"Sedum brevifolium"
-4.353,36.944,"Sedum brevifolium"
1.106015,42.629207,"Sedum brevifolium"
-7.5147,40.95659,"Sedum brevifolium"
1.10774,42.61815,"Sedum brevifolium"
1.062106,42.62787,"Sedum brevifolium"
1.104416,42.638105,"Sedum brevifolium"
-5.358269,36.207601,"Sedum brevifolium"
1.070676,42.603871,"Sedum brevifolium"
-5.452,36.548,"Sedum brevifolium"
-5.359549,36.205699,"Sedum brevifolium"
-1.359,40.266,"Sedum brevifolium"
1.496,42.585,"Sedum brevifolium"
-7.27948,40.86324,"Sedum brevifolium"
1.484,42.584,"Sedum brevifolium"
-7.28181,40.77319,"Sedum brevifolium"
1.472,42.593,"Sedum brevifolium"
-7.98853,41.0518,"Sedum brevifolium"
-2.524368,37.204396,"Sedum brevifolium"
-3.77,40.88,"Sedum brevifolium"
-2.525043,37.20466,"Sedum brevifolium"
1.107882,42.629157,"Sedum brevifolium"
-1.952138,37.109349,"Sedum brevifolium"
-3.321809,37.184657,"Sedum brevifolium"
1.472,42.584,"Sedum brevifolium"
-0.42267,42.80239,"Sedum brevifolium"
1.46,42.584,"Sedum brevifolium"
1.447,42.593,"Sedum brevifolium"
1.46,42.593,"Sedum brevifolium"
1.447,42.584,"Sedum brevifolium"
1.435,42.575,"Sedum brevifolium"
1.46564,42.63982,"Sedum brevifolium"
-5.387,36.594,"Sedum brevifolium"
1.474,42.431,"Sedum brevifolium"
-1.31,40.2,"Sedum brevifolium"
-4.759034,36.954694,"Sedum brevifolium"
1.54,42.439999,"Sedum brevifolium"
1.66,42.349998,"Sedum brevifolium"
-4.83,43.110001,"Sedum brevifolium"
2.06243,42.63371,"Sedum brevifolium"
1.569,42.612,"Sedum brevifolium"
0.06362,42.89626,"Sedum brevifolium"
-3.465406,37.703498,"Sedum brevifolium"
1.486,42.459,"Sedum brevifolium"
-3.474432,37.729627,"Sedum brevifolium"
-4.17,34.07,"Sedum brevifolium"
-3.465485,37.703479,"Sedum brevifolium"
-7.39592,40.955,"Sedum brevifolium"
1.449,42.485,"Sedum brevifolium"
0.26,42.639999,"Sedum brevifolium"
1.425,42.485,"Sedum brevifolium"
-7.63534,40.868,"Sedum brevifolium"
-1.92,41.73,"Sedum brevifolium"
-7.75567,40.77928,"Sedum brevifolium"
-4.96,43.02,"Sedum brevifolium"
-7.40882,40.41468,"Sedum brevifolium"
-4.9643,43.0224,"Sedum brevifolium"
-4.09,38.47,"Sedum brevifolium"
-2.820116,37.071878,"Sedum brevifolium"
-7.87263,40.87056,"Sedum brevifolium"
-7.28412,40.68315,"Sedum brevifolium"
-2.88468,37.070815,"Sedum brevifolium"
-8.611,37.312,"Sedum brevifolium"
-7.0554,40.40928,"Sedum brevifolium"
-2.986635,37.128951,"Sedum brevifolium"
1.471,42.629,"Sedum brevifolium"
-8.61,37.31,"Sedum brevifolium"
-3.295046,37.192019,"Sedum brevifolium"
