"lon","lat","species.name"
54.06667,31.61667,"Pseudotrachydium depressum"
72.13,36.15,"Pseudotrachydium depressum"
72.5,36.05,"Pseudotrachydium depressum"
72.02,36.3,"Pseudotrachydium depressum"
72.48,36.03,"Pseudotrachydium depressum"
69.05,35.3,"Pseudotrachydium depressum"
69.03,35.32,"Pseudotrachydium depressum"
69.03,35.28,"Pseudotrachydium depressum"
71.8,36.06667,"Pseudotrachydium depressum"
69.5,35.25,"Pseudotrachydium depressum"
72.52,36.28,"Pseudotrachydium depressum"
67.25,34.75,"Pseudotrachydium depressum"
72,36.75,"Pseudotrachydium depressum"
54.19778,32.73944,"Pseudotrachydium depressum"
71.77,36.02,"Pseudotrachydium depressum"
69.58,33.58,"Pseudotrachydium depressum"
68,34.25,"Pseudotrachydium depressum"
69,35.75,"Pseudotrachydium depressum"
62,34.5,"Pseudotrachydium depressum"
69,33.83,"Pseudotrachydium depressum"
