"lon","lat","species.name"
-107.40574,38.07901,"Trifolium parryi"
-106.246667,41.358611,"Trifolium parryi"
-105.327278,36.963497,"Trifolium parryi"
-110.8675,40.733889,"Trifolium parryi"
-110.913611,40.681111,"Trifolium parryi"
-107.53405,37.784042,"Trifolium parryi"
-105.736816,39.602388,"Trifolium parryi"
-105.63944,39.60222,"Trifolium parryi"
-105.717222,39.6025,"Trifolium parryi"
-105.931198,39.683679,"Trifolium parryi"
-106.650833,37.246111,"Trifolium parryi"
-105.766944,39.6375,"Trifolium parryi"
-110.32,40.82,"Trifolium parryi"
-110.64,40.5,"Trifolium parryi"
-106.136684,39.006361,"Trifolium parryi"
-106.25,41.35,"Trifolium parryi"
-106.098278,39.002251,"Trifolium parryi"
-109.94,40.69,"Trifolium parryi"
-109.87,40.76,"Trifolium parryi"
-110.63,40.77,"Trifolium parryi"
-110.46,40.77,"Trifolium parryi"
-116.18333,39.25,"Trifolium parryi"
-106.05,37.25,"Trifolium parryi"
-105.9,40.617,"Trifolium parryi"
-105.704049,40.397209,"Trifolium parryi"
-109.22,38.53,"Trifolium parryi"
-106.408127,38.825976,"Trifolium parryi"
-105.645432,38.09151,"Trifolium parryi"
-109.24,38.44,"Trifolium parryi"
-106.25,41.333333,"Trifolium parryi"
-110.02,40.82,"Trifolium parryi"
-107.53044,37.900054,"Trifolium parryi"
-109.83,40.78,"Trifolium parryi"
-105.64278,39.58861,"Trifolium parryi"
-107.708,37.7472,"Trifolium parryi"
-107.517167,37.906313,"Trifolium parryi"
-105.633971,39.59521,"Trifolium parryi"
-110.7,40.94,"Trifolium parryi"
-110.69,40.95,"Trifolium parryi"
-107.517902,37.906514,"Trifolium parryi"
-107.543503,37.932626,"Trifolium parryi"
-107.59485,37.952806,"Trifolium parryi"
-105.642791,39.586728,"Trifolium parryi"
-110.48,40.73,"Trifolium parryi"
-107.6,37.783333,"Trifolium parryi"
-106.956,38.0545,"Trifolium parryi"
-110.01,40.795,"Trifolium parryi"
-110.34,40.77,"Trifolium parryi"
-105.598337,39.638946,"Trifolium parryi"
-105.805912,39.673885,"Trifolium parryi"
-105.87861,39.66361,"Trifolium parryi"
-105.61694,40.05972,"Trifolium parryi"
-106.125928,39.322643,"Trifolium parryi"
-106.119414,39.319534,"Trifolium parryi"
-107.762104,37.983397,"Trifolium parryi"
-105.875429,39.66484,"Trifolium parryi"
-105.511513,39.960226,"Trifolium parryi"
-105.535625,40.029781,"Trifolium parryi"
-107.616667,37.633333,"Trifolium parryi"
-105.641859,39.59677,"Trifolium parryi"
-105.706957,40.333068,"Trifolium parryi"
-105.4509,40.081388,"Trifolium parryi"
-105.500278,38.9984,"Trifolium parryi"
-106.988921,38.957262,"Trifolium parryi"
-106.563628,39.107825,"Trifolium parryi"
-106.01521,39.384438,"Trifolium parryi"
-109.1881,38.4803,"Trifolium parryi"
-109.2631,38.4586,"Trifolium parryi"
-109.2289,38.4383,"Trifolium parryi"
-109.2336,38.4731,"Trifolium parryi"
-105.662118,39.59854,"Trifolium parryi"
-105.68439,39.932531,"Trifolium parryi"
-98,38,"Trifolium parryi"
-112.002869,45.6081,"Trifolium parryi"
-111.974429,45.55437,"Trifolium parryi"
-105.6426,39.6156,"Trifolium parryi"
-105.53,38.99944,"Trifolium parryi"
-106.5172,37.3857,"Trifolium parryi"
0,1,"Trifolium parryi"
-105.8782,39.6638,"Trifolium parryi"
-106.1301,40.3396,"Trifolium parryi"
-105.8917,40.5205,"Trifolium parryi"
-107.6797,39.0381,"Trifolium parryi"
-105.585,39.9916,"Trifolium parryi"
-105.9375,39.9069,"Trifolium parryi"
-107.2493,39.9642,"Trifolium parryi"
-105.8924,40.5199,"Trifolium parryi"
-107.976,37.7849,"Trifolium parryi"
-105.90278,40.47395,"Trifolium parryi"
-109.49389,44.94611,"Trifolium parryi"
-105.8001,39.694,"Trifolium parryi"
-105.7538,40.4266,"Trifolium parryi"
-105.492416,40.393944,"Trifolium parryi"
-106.1301,40.3251,"Trifolium parryi"
-105.8182,39.6342,"Trifolium parryi"
-105.5957,39.6435,"Trifolium parryi"
-105.6343,40.0747,"Trifolium parryi"
-105.1636,37.2286,"Trifolium parryi"
-106.04555,39.48222,"Trifolium parryi"
-105.6429,39.6034,"Trifolium parryi"
-106.7,37.3458,"Trifolium parryi"
-105.6992,39.9067,"Trifolium parryi"
-106.99038,38.95884,"Trifolium parryi"
-105.937222,40.599167,"Trifolium parryi"
-105.7669,39.6375,"Trifolium parryi"
-107.13324,38.86515,"Trifolium parryi"
-105.6405,40.5322,"Trifolium parryi"
-106.6495,37.4099,"Trifolium parryi"
-105.8606,40.6593,"Trifolium parryi"
-109.21,43.63806,"Trifolium parryi"
-110.78,40.69,"Trifolium parryi"
-106.56447,39.10863,"Trifolium parryi"
-105.6458,40.4847,"Trifolium parryi"
-106.0802,39.3683,"Trifolium parryi"
-105.6992,39.5745,"Trifolium parryi"
-105.6526,40.5236,"Trifolium parryi"
-105.53,39.4,"Trifolium parryi"
-105.797,39.6876,"Trifolium parryi"
