"lon","lat","species.name"
15.85742,47.62236,"Trisetum alpestre"
12.32722,46.64222,"Trisetum alpestre"
20.3364,48.8673,"Trisetum alpestre"
20.27917,49.22806,"Trisetum alpestre"
20.2675,49.23028,"Trisetum alpestre"
20.27556,49.22944,"Trisetum alpestre"
20.20944,49.245,"Trisetum alpestre"
13.578749,45.899669,"Trisetum alpestre"
15.8136,47.7644,"Trisetum alpestre"
14.61389,47.57361,"Trisetum alpestre"
12.574851,46.66217,"Trisetum alpestre"
12.575,46.659,"Trisetum alpestre"
15.23333,47.76667,"Trisetum alpestre"
15.1,47.66667,"Trisetum alpestre"
15.34167,47.76667,"Trisetum alpestre"
15.625,47.725,"Trisetum alpestre"
15.13975,47.64675,"Trisetum alpestre"
19.90917,49.21972,"Trisetum alpestre"
15.23314,47.70214,"Trisetum alpestre"
14.95833,47.675,"Trisetum alpestre"
0,0,"Trisetum alpestre"
15.4115,47.64511,"Trisetum alpestre"
15.58333,47.25,"Trisetum alpestre"
12.774824,46.759277,"Trisetum alpestre"
15.42411,42.36278,"Trisetum alpestre"
14.64806,46.30361,"Trisetum alpestre"
15.04167,47.525,"Trisetum alpestre"
15.1,47.6,"Trisetum alpestre"
12.8,46.8,"Trisetum alpestre"
14.58333,47.55,"Trisetum alpestre"
14.91667,47.55,"Trisetum alpestre"
15.02778,47.60611,"Trisetum alpestre"
15.04167,47.625,"Trisetum alpestre"
15.02778,47.60603,"Trisetum alpestre"
15.02786,47.60631,"Trisetum alpestre"
15.73903,47.72036,"Trisetum alpestre"
14.95833,47.525,"Trisetum alpestre"
14.875,47.575,"Trisetum alpestre"
15.20833,47.675,"Trisetum alpestre"
15.04167,47.575,"Trisetum alpestre"
15.20833,47.575,"Trisetum alpestre"
15.375,47.325,"Trisetum alpestre"
15.29167,47.59444,"Trisetum alpestre"
14.93917,47.50847,"Trisetum alpestre"
19.41333,47.16639,"Trisetum alpestre"
15.08731,47.70894,"Trisetum alpestre"
12.216667,46.616667,"Trisetum alpestre"
12.07167,42.79583,"Trisetum alpestre"
12.217533,46.620306,"Trisetum alpestre"
15.45833,47.375,"Trisetum alpestre"
24.969259,45.843615,"Trisetum alpestre"
15.125,47.575,"Trisetum alpestre"
15.42347,47.36331,"Trisetum alpestre"
2.55194,46.56444,"Trisetum alpestre"
14.82667,46.12361,"Trisetum alpestre"
15.41667,47.35,"Trisetum alpestre"
15.70833,47.675,"Trisetum alpestre"
15.705,47.68639,"Trisetum alpestre"
14.14019,47.592903,"Trisetum alpestre"
12.354167,46.664444,"Trisetum alpestre"
13,47.2,"Trisetum alpestre"
11.9,47.2,"Trisetum alpestre"
10.602585,47.067394,"Trisetum alpestre"
12.770301,46.762256,"Trisetum alpestre"
10.227222,47.295556,"Trisetum alpestre"
12.767773,46.761242,"Trisetum alpestre"
12.764382,46.833063,"Trisetum alpestre"
11.302689,47.155517,"Trisetum alpestre"
10.50323,46.892269,"Trisetum alpestre"
12.414129,46.706594,"Trisetum alpestre"
12.621943,47.003701,"Trisetum alpestre"
16.739755,62.789897,"Trisetum alpestre"
11.418086,47.08343,"Trisetum alpestre"
10.222011,47.150053,"Trisetum alpestre"
12.788112,46.878691,"Trisetum alpestre"
11.811667,46.649444,"Trisetum alpestre"
12.323967,46.804546,"Trisetum alpestre"
