"lon","lat","species.name"
-72.11786,-47.92071,"Trisetum barbinode"
-70.56,-36.006389,"Trisetum barbinode"
-71.3847,-38.9977,"Trisetum barbinode"
-70.9028,-38.6589,"Trisetum barbinode"
-71.4003,-36.9053,"Trisetum barbinode"
-71.4236,-36.9072,"Trisetum barbinode"
-71.41666,-39.91666,"Trisetum barbinode"
-71.45,-42.51667,"Trisetum barbinode"
-71.68333,-37.33333,"Trisetum barbinode"
-71.55,-41.43,"Trisetum barbinode"
-71.3,-40.22,"Trisetum barbinode"
-71.83,-41.2,"Trisetum barbinode"
-71.1,-37.82,"Trisetum barbinode"
-71.49,-43.02,"Trisetum barbinode"
-70.8,-36.47,"Trisetum barbinode"
-70.68,-37.61,"Trisetum barbinode"
-71.23,-40.35,"Trisetum barbinode"
-71.6,-42.87,"Trisetum barbinode"
-71.4,-36.9,"Trisetum barbinode"
-71.16,-41.02,"Trisetum barbinode"
-70.78,-36.87,"Trisetum barbinode"
-70.8,-36.58,"Trisetum barbinode"
-70.21,-35.16,"Trisetum barbinode"
-69.25,-32.41,"Trisetum barbinode"
-70.5,-36.7,"Trisetum barbinode"
-70.62,-36.7,"Trisetum barbinode"
-71.31,-37.4,"Trisetum barbinode"
-68.36,-34.94,"Trisetum barbinode"
-70.43,-38.58,"Trisetum barbinode"
-70.54,-44.18,"Trisetum barbinode"
71.45,39.57,"Trisetum barbinode"
-71.13,-40.39,"Trisetum barbinode"
-70.93167,-32.48917,"Trisetum barbinode"
-71.82,-41.2,"Trisetum barbinode"
-71.39,-40.16,"Trisetum barbinode"
-71.44,-40.76,"Trisetum barbinode"
-71.63,-40.11,"Trisetum barbinode"
-70.45,-39.43,"Trisetum barbinode"
-69.24,-33.33,"Trisetum barbinode"
-70.22,-38.02,"Trisetum barbinode"
-71.35,-41.14,"Trisetum barbinode"
-71.32,-41.14,"Trisetum barbinode"
-70.5,-36,"Trisetum barbinode"
-70.62,-36.38,"Trisetum barbinode"
