"lon","lat","species.name"
1.49663,45.12139,"Trisetum flavescens"
10.15965,48.905296,"Trisetum flavescens"
19.202113,49.124876,"Trisetum flavescens"
7.881081,47.645123,"Trisetum flavescens"
9.766352,47.836121,"Trisetum flavescens"
5.71907,45.1787,"Trisetum flavescens"
8.938665,49.191238,"Trisetum flavescens"
10.263677,48.909435,"Trisetum flavescens"
10.000319,49.153259,"Trisetum flavescens"
10.350494,48.966019,"Trisetum flavescens"
10.290451,48.923981,"Trisetum flavescens"
12.643204,48.211433,"Trisetum flavescens"
10.703859,48.315166,"Trisetum flavescens"
10.360279,48.88435,"Trisetum flavescens"
10.957026,48.674015,"Trisetum flavescens"
6.917811,47.001464,"Trisetum flavescens"
9.072598,50.635651,"Trisetum flavescens"
10.957025,48.724007,"Trisetum flavescens"
6.928446,48.689018,"Trisetum flavescens"
9.199548,48.80336,"Trisetum flavescens"
-2.4241,52.71794,"Trisetum flavescens"
1.45393,52.03472,"Trisetum flavescens"
-2.48158,52.62828,"Trisetum flavescens"
1.55694,52.22954,"Trisetum flavescens"
1.4999,52.24923,"Trisetum flavescens"
9.027243,50.619083,"Trisetum flavescens"
9.63,50.22,"Trisetum flavescens"
9.2,49.8,"Trisetum flavescens"
5.52611,50.84074,"Trisetum flavescens"
10.96,48.32,"Trisetum flavescens"
9.14732,49.163635,"Trisetum flavescens"
1.9859,44.4854,"Trisetum flavescens"
1.9848,44.48563,"Trisetum flavescens"
5.75859,50.77978,"Trisetum flavescens"
24.94377,59.01662,"Trisetum flavescens"
15.619915,58.403692,"Trisetum flavescens"
11.93,49.37,"Trisetum flavescens"
5.63302,51.11834,"Trisetum flavescens"
4.28338,51.07565,"Trisetum flavescens"
10.89,48.41,"Trisetum flavescens"
5.41672,50.71141,"Trisetum flavescens"
4.73883,50.93126,"Trisetum flavescens"
18.207926,59.340817,"Trisetum flavescens"
9.456189,48.885227,"Trisetum flavescens"
10.12,49.32,"Trisetum flavescens"
0.86438,52.39228,"Trisetum flavescens"
10.15,49.27,"Trisetum flavescens"
10.14,49.35,"Trisetum flavescens"
5.42512,50.76977,"Trisetum flavescens"
5.64517,50.78107,"Trisetum flavescens"
12,49.32,"Trisetum flavescens"
11.91,49.37,"Trisetum flavescens"
10.96,48.37,"Trisetum flavescens"
5.3049,50.78428,"Trisetum flavescens"
4.79606,50.96703,"Trisetum flavescens"
19.043305,59.71995,"Trisetum flavescens"
5.35462,50.78837,"Trisetum flavescens"
2.85905,50.99412,"Trisetum flavescens"
12.09,48.33,"Trisetum flavescens"
11.291714,51.007923,"Trisetum flavescens"
9.895678,51.406555,"Trisetum flavescens"
9.29,49.82,"Trisetum flavescens"
4.68193,50.93143,"Trisetum flavescens"
4.96551,50.85841,"Trisetum flavescens"
5.78899,51.08061,"Trisetum flavescens"
13.206483,55.714058,"Trisetum flavescens"
3.71264,51.07386,"Trisetum flavescens"
-2.07611,53.09219,"Trisetum flavescens"
-2.84019,52.72292,"Trisetum flavescens"
12.08,48.21,"Trisetum flavescens"
3.77293,50.82248,"Trisetum flavescens"
5.30706,50.89214,"Trisetum flavescens"
4.68145,50.85951,"Trisetum flavescens"
5.70702,50.96019,"Trisetum flavescens"
0.83908,51.99719,"Trisetum flavescens"
-3.16634,52.82129,"Trisetum flavescens"
5.07912,50.85778,"Trisetum flavescens"
14.947672,51.102013,"Trisetum flavescens"
4.3976,51.18354,"Trisetum flavescens"
5.08077,50.96565,"Trisetum flavescens"
2.9654,51.24716,"Trisetum flavescens"
10.319095,48.855637,"Trisetum flavescens"
4.7954,50.89511,"Trisetum flavescens"
4.85226,50.89489,"Trisetum flavescens"
5.46445,45.19375,"Trisetum flavescens"
18.15046,59.254373,"Trisetum flavescens"
10.446796,48.72401,"Trisetum flavescens"
24.46141,57.9276,"Trisetum flavescens"
5.52767,50.90366,"Trisetum flavescens"
8.737264,49.044296,"Trisetum flavescens"
10.866112,49.895214,"Trisetum flavescens"
16.926524,57.04892,"Trisetum flavescens"
5.30778,50.92809,"Trisetum flavescens"
5.82424,51.06669,"Trisetum flavescens"
1.41908,52.34155,"Trisetum flavescens"
8.542213,49.332954,"Trisetum flavescens"
5.70495,50.88829,"Trisetum flavescens"
18.065911,59.365988,"Trisetum flavescens"
1.46646,52.19626,"Trisetum flavescens"
8.717716,49.129921,"Trisetum flavescens"
7.159116,50.576725,"Trisetum flavescens"
5.76718,51.06738,"Trisetum flavescens"
9.763729,51.055481,"Trisetum flavescens"
9.325333,49.091236,"Trisetum flavescens"
8.696451,47.902763,"Trisetum flavescens"
18.227302,57.602015,"Trisetum flavescens"
-9.5869,53.09288,"Trisetum flavescens"
1.42621,52.05352,"Trisetum flavescens"
4.79507,50.85916,"Trisetum flavescens"
5.59128,50.88953,"Trisetum flavescens"
-9.665626,53.106702,"Trisetum flavescens"
17.727857,59.360966,"Trisetum flavescens"
12.782818,48.218472,"Trisetum flavescens"
5.36391,50.89167,"Trisetum flavescens"
-2.74796,52.69746,"Trisetum flavescens"
10.44714,48.820202,"Trisetum flavescens"
5.465286,50.347025,"Trisetum flavescens"
1.0954,52.33249,"Trisetum flavescens"
0.14022,44.18898,"Trisetum flavescens"
10.342941,48.755962,"Trisetum flavescens"
4.986323,50.247891,"Trisetum flavescens"
4.79573,50.93107,"Trisetum flavescens"
3.5408,51.10874,"Trisetum flavescens"
13.20625,55.714078,"Trisetum flavescens"
1.48475,52.42957,"Trisetum flavescens"
10.079613,50.081158,"Trisetum flavescens"
4.68169,50.89547,"Trisetum flavescens"
11.92,48.36,"Trisetum flavescens"
8.940599,46.727254,"Trisetum flavescens"
24.53086,58.7879,"Trisetum flavescens"
25.8424,59.18951,"Trisetum flavescens"
23.7629,58.41619,"Trisetum flavescens"
5.254,50.71725,"Trisetum flavescens"
25.86445,58.07083,"Trisetum flavescens"
1.42882,52.46718,"Trisetum flavescens"
16.866786,59.020005,"Trisetum flavescens"
25.96762,59.0785,"Trisetum flavescens"
-1.03949,52.53412,"Trisetum flavescens"
-2.33505,55.62612,"Trisetum flavescens"
-3.07688,52.80416,"Trisetum flavescens"
12.35,49.21,"Trisetum flavescens"
5.7029,50.81639,"Trisetum flavescens"
4.85077,50.75106,"Trisetum flavescens"
1.64042,52.53281,"Trisetum flavescens"
12.36,49.31,"Trisetum flavescens"
13.46129,57.89736,"Trisetum flavescens"
4.90828,50.82273,"Trisetum flavescens"
8.905535,49.135563,"Trisetum flavescens"
3.3066,51.35857,"Trisetum flavescens"
4.62484,50.89561,"Trisetum flavescens"
13.545382,58.182935,"Trisetum flavescens"
4.85263,50.93085,"Trisetum flavescens"
