"lon","lat","species.name"
17.559755,59.853309,"Vaccaria hispanica"
17.559872,59.853097,"Vaccaria hispanica"
-96.744114,32.824851,"Vaccaria hispanica"
35.676902,32.737574,"Vaccaria hispanica"
5.75868,44.48112,"Vaccaria hispanica"
-0.62,38.3,"Vaccaria hispanica"
-1.14,38.96,"Vaccaria hispanica"
5.70464,43.85589,"Vaccaria hispanica"
3.43092,50.89217,"Vaccaria hispanica"
8.2596,52.159435,"Vaccaria hispanica"
5.75647,44.47667,"Vaccaria hispanica"
3.25611,51.07045,"Vaccaria hispanica"
12.384255,57.095065,"Vaccaria hispanica"
8.227386,50.416176,"Vaccaria hispanica"
10.713497,59.606301,"Vaccaria hispanica"
3.01328,45.78371,"Vaccaria hispanica"
10.7135,59.6063,"Vaccaria hispanica"
17.559764,59.853309,"Vaccaria hispanica"
-7.91683,38.07779,"Vaccaria hispanica"
-8.03083,38.07879,"Vaccaria hispanica"
-8.14484,38.07967,"Vaccaria hispanica"
3.74813,51.08753,"Vaccaria hispanica"
3.76971,51.07416,"Vaccaria hispanica"
4.50486,51.17897,"Vaccaria hispanica"
13.2484,54.1484,"Vaccaria hispanica"
-3.95219,51.63756,"Vaccaria hispanica"
2.04228,42.43594,"Vaccaria hispanica"
7.21504,49.284947,"Vaccaria hispanica"
-3.94834,51.5477,"Vaccaria hispanica"
151.471298,-33.267692,"Vaccaria hispanica"
3.76229,51.0966,"Vaccaria hispanica"
-1.45,40.13,"Vaccaria hispanica"
3.76925,51.11012,"Vaccaria hispanica"
-1.12,38.98,"Vaccaria hispanica"
-1.15,39.22,"Vaccaria hispanica"
20.603317,40.269983,"Vaccaria hispanica"
-3.27,37.32,"Vaccaria hispanica"
-1.11,38.98,"Vaccaria hispanica"
-4.0966,51.63507,"Vaccaria hispanica"
10.23903,59.20678,"Vaccaria hispanica"
-4.23656,51.54255,"Vaccaria hispanica"
8.655005,50.43055,"Vaccaria hispanica"
4.34044,51.11163,"Vaccaria hispanica"
-114.28648,34.33904,"Vaccaria hispanica"
-1.04,39.24,"Vaccaria hispanica"
-0.56,38.67,"Vaccaria hispanica"
151.080746,-33.823319,"Vaccaria hispanica"
-0.94,39.54,"Vaccaria hispanica"
-1.24,39.34,"Vaccaria hispanica"
-0.85,38.76,"Vaccaria hispanica"
-0.94,39.55,"Vaccaria hispanica"
-0.66,38.85,"Vaccaria hispanica"
-1.08,39.54,"Vaccaria hispanica"
-1.08,39.53,"Vaccaria hispanica"
-1.14,39.63,"Vaccaria hispanica"
-1.17,39.18,"Vaccaria hispanica"
-1.09,39.61,"Vaccaria hispanica"
4.16892,51.14742,"Vaccaria hispanica"
5.75332,44.46451,"Vaccaria hispanica"
-0.43,38.9,"Vaccaria hispanica"
-7.23297,38.0695,"Vaccaria hispanica"
-7.57661,37.98404,"Vaccaria hispanica"
3.97556,39.97882,"Vaccaria hispanica"
-0.77,39.95,"Vaccaria hispanica"
-0.952,38.926,"Vaccaria hispanica"
-0.76,39.97,"Vaccaria hispanica"
-0.53,38.68,"Vaccaria hispanica"
-0.84,38.96,"Vaccaria hispanica"
-0.75,39.98,"Vaccaria hispanica"
-0.85,38.96,"Vaccaria hispanica"
0.07,40.69,"Vaccaria hispanica"
-0.87,38.96,"Vaccaria hispanica"
-0.76,39.96,"Vaccaria hispanica"
-0.75,39.97,"Vaccaria hispanica"
-0.78,39.97,"Vaccaria hispanica"
-0.9,38.95,"Vaccaria hispanica"
-0.67,39.94,"Vaccaria hispanica"
-0.87,38.94,"Vaccaria hispanica"
-1.17,39.88,"Vaccaria hispanica"
-0.68,39.93,"Vaccaria hispanica"
-0.89,38.94,"Vaccaria hispanica"
-0.95,38.34,"Vaccaria hispanica"
-0.89,38.93,"Vaccaria hispanica"
-1.15,39.21,"Vaccaria hispanica"
5.02535,51.07384,"Vaccaria hispanica"
-0.9,38.94,"Vaccaria hispanica"
-0.68,39.94,"Vaccaria hispanica"
-0.88,38.94,"Vaccaria hispanica"
