"lon","lat","species.name"
-72.83425,7.294306,"Valeriana rigida"
-77.774194,-7.080111,"Valeriana rigida"
-78.200972,-0.492305,"Valeriana rigida"
-79.016667,-8.116667,"Valeriana rigida"
-78.213611,-0.108889,"Valeriana rigida"
-78.884722,-1.544722,"Valeriana rigida"
-79.205,-2.785833,"Valeriana rigida"
-72.885878,7.369683,"Valeriana rigida"
-78.5,-7.01078,"Valeriana rigida"
-78.4886,-7.00378,"Valeriana rigida"
-78.7,-2.13333,"Valeriana rigida"
-78.3,-7.92,"Valeriana rigida"
-79.24083,-2.77722,"Valeriana rigida"
-72.73145,7.037415,"Valeriana rigida"
-78.58333,-0.36666,"Valeriana rigida"
-79.24361,-2.77194,"Valeriana rigida"
-78.22472,-7.03333,"Valeriana rigida"
-78.18333,-0.46666,"Valeriana rigida"
-78.38333,-0.95,"Valeriana rigida"
-78.35,-1.11666,"Valeriana rigida"
-78.7,-0.4,"Valeriana rigida"
-79.21666,-2.76666,"Valeriana rigida"
-78.96666,-1.38333,"Valeriana rigida"
-78.76666,-1.46666,"Valeriana rigida"
-78.333333,0.45,"Valeriana rigida"
-78.666667,0.65,"Valeriana rigida"
-78.25,-0.5,"Valeriana rigida"
-78.08333,-0.46666,"Valeriana rigida"
-78.16666,-0.43333,"Valeriana rigida"
-72.5,-12.5,"Valeriana rigida"
-78.033333,-0.05,"Valeriana rigida"
-78.333,-0.75,"Valeriana rigida"
-78.33333,-0.75,"Valeriana rigida"
-78.46666,-0.45,"Valeriana rigida"
-78.53333,-1.8,"Valeriana rigida"
-78.25,-0.333333,"Valeriana rigida"
-77.56666,-8.98333,"Valeriana rigida"
-77.7,-8.833333,"Valeriana rigida"
-78.28333,0.13333,"Valeriana rigida"
-78.283,0.133,"Valeriana rigida"
-79.233,-2.766,"Valeriana rigida"
-79.23333,-2.76666,"Valeriana rigida"
-78.5,-0.45,"Valeriana rigida"
-79.336111,-6.199722,"Valeriana rigida"
-79,-1.36666,"Valeriana rigida"
-79,-1.366,"Valeriana rigida"
-78.533,-0.15,"Valeriana rigida"
-75.916667,-11.266667,"Valeriana rigida"
-78.53333,-0.15,"Valeriana rigida"
-78.13333,-6.86666,"Valeriana rigida"
-79.06277,-6.59111,"Valeriana rigida"
-77.23333,-9.68333,"Valeriana rigida"
-77.233333,-9.683333,"Valeriana rigida"
-78.2,-0.46666,"Valeriana rigida"
-78.2,-0.466,"Valeriana rigida"
-69.121667,-15.159444,"Valeriana rigida"
-79.2,-2.71666,"Valeriana rigida"
-79.2,-2.716,"Valeriana rigida"
-78.933,-1.433,"Valeriana rigida"
-78.866,-1.466,"Valeriana rigida"
-78.86666,-1.46666,"Valeriana rigida"
-78.93333,-1.43333,"Valeriana rigida"
-78.35,0.366,"Valeriana rigida"
-78.35,0.36666,"Valeriana rigida"
-78.033333,-7.883333,"Valeriana rigida"
-79.2,-2.833,"Valeriana rigida"
-79.2,-2.83333,"Valeriana rigida"
-78.833,-1.65,"Valeriana rigida"
-78.83333,-1.65,"Valeriana rigida"
-78.25,-0.7,"Valeriana rigida"
-78.683333,-0.533333,"Valeriana rigida"
-78.68333,-0.53333,"Valeriana rigida"
-78.683,-0.533,"Valeriana rigida"
-78.166,-0.5,"Valeriana rigida"
-78.16666,-0.5,"Valeriana rigida"
-78.15,-0.483,"Valeriana rigida"
-78.15,-0.48333,"Valeriana rigida"
-78.16666,-0.45,"Valeriana rigida"
-78.166,-0.45,"Valeriana rigida"
-78.18333,-0.51666,"Valeriana rigida"
-78.183,-0.516,"Valeriana rigida"
-78.38666,-1.08638,"Valeriana rigida"
-79.11666,-3.3,"Valeriana rigida"
-78.08333,0.36666,"Valeriana rigida"
-79.116,-3.3,"Valeriana rigida"
-78.48333,0,"Valeriana rigida"
-78.483,0,"Valeriana rigida"
-78.083,0.366,"Valeriana rigida"
-72.976327,6.027155,"Valeriana rigida"
-78.81666,-0.9,"Valeriana rigida"
-78.816,-0.9,"Valeriana rigida"
-78.87,-0.33,"Valeriana rigida"
-77.905278,-6.780278,"Valeriana rigida"
-78.4,-1.08,"Valeriana rigida"
-77.67223,1.076,"Valeriana rigida"
-79.066,-3.21667,"Valeriana rigida"
-75.25,-10.5,"Valeriana rigida"
-78.767071,-1.427421,"Valeriana rigida"
-74.37556,-9.16389,"Valeriana rigida"
-74.14,-9.1839,"Valeriana rigida"
-76,-10,"Valeriana rigida"
-71.296667,-14.984667,"Valeriana rigida"
-79.12,-3.3,"Valeriana rigida"
-78.1869,-1.4628,"Valeriana rigida"
-78.18,-0.52,"Valeriana rigida"
-78.3395,-6.9725,"Valeriana rigida"
-78.3095,-6.972333,"Valeriana rigida"
