"lon","lat","species.name"
98.948889,28.484444,"Veronica ciliata"
101.5233,29.1661,"Veronica ciliata"
99.813889,28.573056,"Veronica ciliata"
99.2458,28.8675,"Veronica ciliata"
96.4944,31.0936,"Veronica ciliata"
96.8744,31.1094,"Veronica ciliata"
78.4,32.99,"Veronica ciliata"
78.37,32.98,"Veronica ciliata"
78.41,32.99,"Veronica ciliata"
78.43,33.04,"Veronica ciliata"
78.33,33.05,"Veronica ciliata"
78.26,32.97,"Veronica ciliata"
78.23,33.22,"Veronica ciliata"
78.25,33.16,"Veronica ciliata"
77.97,33.23,"Veronica ciliata"
99.931944,29.135556,"Veronica ciliata"
99.626944,29.101667,"Veronica ciliata"
99.6319,29.1031,"Veronica ciliata"
99.28,35.37,"Veronica ciliata"
99.68,35.87,"Veronica ciliata"
99.52,35.57,"Veronica ciliata"
99.9283,29.1411,"Veronica ciliata"
77.72,33.33,"Veronica ciliata"
91.07,29.67,"Veronica ciliata"
92.12,30.12,"Veronica ciliata"
97.87,34.27,"Veronica ciliata"
99.2,34.32,"Veronica ciliata"
91.05,29.67,"Veronica ciliata"
89.97,29.33,"Veronica ciliata"
92.12,29.28,"Veronica ciliata"
101.142222,34.483611,"Veronica ciliata"
99.854167,35.803333,"Veronica ciliata"
91.52,30.3,"Veronica ciliata"
91.13,29.68,"Veronica ciliata"
91.53,29.37,"Veronica ciliata"
91.98,29.3,"Veronica ciliata"
97.0653,32.0756,"Veronica ciliata"
97.066667,32.083333,"Veronica ciliata"
103.891767,36.519977,"Veronica ciliata"
96.4883,31.8331,"Veronica ciliata"
85.57,28.22,"Veronica ciliata"
97.4483,33.1094,"Veronica ciliata"
97.440556,33.101667,"Veronica ciliata"
91.53,30.63,"Veronica ciliata"
90.55,28.5,"Veronica ciliata"
91.9,28.12,"Veronica ciliata"
94.28,31.83,"Veronica ciliata"
90.63,28.5,"Veronica ciliata"
92.5,28.58,"Veronica ciliata"
97.08,30.65,"Veronica ciliata"
90.58,28.43,"Veronica ciliata"
98.52,29.68,"Veronica ciliata"
92.13,28.38,"Veronica ciliata"
96.97,31.08,"Veronica ciliata"
93.33,31.92,"Veronica ciliata"
100.626944,34.660833,"Veronica ciliata"
101.448,36.36,"Veronica ciliata"
100.627,34.6583,"Veronica ciliata"
92.05,33.58,"Veronica ciliata"
100.288055,33.372778,"Veronica ciliata"
99.4311,33.6939,"Veronica ciliata"
94.23,35.68,"Veronica ciliata"
91.72,32.28,"Veronica ciliata"
99.4339,33.76,"Veronica ciliata"
92.43,34.13,"Veronica ciliata"
100.29,33.3769,"Veronica ciliata"
100.193,34.365,"Veronica ciliata"
91.83,32.5,"Veronica ciliata"
91.72,32.38,"Veronica ciliata"
80.93,31.23,"Veronica ciliata"
77.25,32.97,"Veronica ciliata"
83.9,28.1,"Veronica ciliata"
90.6,30.32,"Veronica ciliata"
90.58,30.32,"Veronica ciliata"
90.57,30.35,"Veronica ciliata"
91.23,33.47,"Veronica ciliata"
91.2,33.47,"Veronica ciliata"
90.62,30.28,"Veronica ciliata"
91.45,33.57,"Veronica ciliata"
90.63,30.28,"Veronica ciliata"
91.33,33.52,"Veronica ciliata"
87.13,27.98,"Veronica ciliata"
99.28717,27.177166,"Veronica ciliata"
98.911543,28.48611,"Veronica ciliata"
99.706013,27.82308,"Veronica ciliata"
101.507299,29.000343,"Veronica ciliata"
103.248771,27.696857,"Veronica ciliata"
102.544402,32.790891,"Veronica ciliata"
100.978754,32.265516,"Veronica ciliata"
102.206261,31.905842,"Veronica ciliata"
98.1029,32.978959,"Veronica ciliata"
100.311366,30.93917,"Veronica ciliata"
98.580912,31.80612,"Veronica ciliata"
108.185012,30.023401,"Veronica ciliata"
100.298406,29.037008,"Veronica ciliata"
99.79929,28.932073,"Veronica ciliata"
99.107741,30.004589,"Veronica ciliata"
102.593465,25.869611,"Veronica ciliata"
100.2333,27.3,"Veronica ciliata"
102.83,30.39,"Veronica ciliata"
100.229945,26.876096,"Veronica ciliata"
102.5,31.4667,"Veronica ciliata"
0,0,"Veronica ciliata"
101.279419,27.928607,"Veronica ciliata"
101.22,28.12,"Veronica ciliata"
101.56752,21.475834,"Veronica ciliata"
98.56,28.1,"Veronica ciliata"
99.05,27.7,"Veronica ciliata"
98.8667,28.5,"Veronica ciliata"
98.97,28.42,"Veronica ciliata"
97.466916,28.661276,"Veronica ciliata"
101.96483,30.055305,"Veronica ciliata"
103.599998,32.599998,"Veronica ciliata"
78.48,34.12,"Veronica ciliata"
103.83,32.67,"Veronica ciliata"
100.2667,26.8,"Veronica ciliata"
102.93,29.65,"Veronica ciliata"
77.82,33.47,"Veronica ciliata"
82.4,28.8,"Veronica ciliata"
79.8,33.54,"Veronica ciliata"
82.25,29.25,"Veronica ciliata"
77.23,33.07,"Veronica ciliata"
83.97,29.22,"Veronica ciliata"
77,33,"Veronica ciliata"
79.616202,22.883478,"Veronica ciliata"
77.97,33.98,"Veronica ciliata"
83.98,28.68,"Veronica ciliata"
77.88,34.02,"Veronica ciliata"
