"lon","lat","species.name"
9.981337,47.726852,"Viola biflora"
11.146317,47.508389,"Viola biflora"
10.411949,47.478233,"Viola biflora"
12.673502,47.022514,"Viola biflora"
10.303888,47.474636,"Viola biflora"
11.009803,47.564365,"Viola biflora"
10.371265,47.58353,"Viola biflora"
11.823214,62.796922,"Viola biflora"
11.612463,46.554375,"Viola biflora"
8.550282,46.220554,"Viola biflora"
15.77637,34.66936,"Viola biflora"
10.558064,47.52803,"Viola biflora"
18.822679,68.357896,"Viola biflora"
6.11389,45.29072,"Viola biflora"
11.144555,47.530675,"Viola biflora"
11.649971,46.519421,"Viola biflora"
13.683444,47.449358,"Viola biflora"
18.727419,68.369691,"Viola biflora"
7.336466,45.580284,"Viola biflora"
7.461691,44.109283,"Viola biflora"
19.196126,69.739643,"Viola biflora"
19.104408,69.713643,"Viola biflora"
19.202046,69.740835,"Viola biflora"
19.106501,69.714702,"Viola biflora"
16.536026,68.674705,"Viola biflora"
11.279612,47.383705,"Viola biflora"
16.495305,68.67153,"Viola biflora"
14.573486,67.279129,"Viola biflora"
12.32193,64.356996,"Viola biflora"
18.811306,69.604071,"Viola biflora"
10.402117,47.459557,"Viola biflora"
14.444227,67.299054,"Viola biflora"
16.578768,68.678531,"Viola biflora"
10.473197,62.967287,"Viola biflora"
14.669632,67.473816,"Viola biflora"
19.097725,69.718601,"Viola biflora"
19.128151,69.71303,"Viola biflora"
19.103824,69.719274,"Viola biflora"
10.304431,63.04839,"Viola biflora"
18.915079,69.62866,"Viola biflora"
16.521833,68.676718,"Viola biflora"
14.496365,67.281201,"Viola biflora"
11.441653,63.811094,"Viola biflora"
16.506903,68.67466,"Viola biflora"
16.456597,68.652349,"Viola biflora"
12.36372,66.04786,"Viola biflora"
10.044944,63.496229,"Viola biflora"
10.194497,47.500156,"Viola biflora"
19.198893,69.739811,"Viola biflora"
16.663479,66.292457,"Viola biflora"
19.042407,69.61622,"Viola biflora"
10.68635,60.27644,"Viola biflora"
10.105903,61.449502,"Viola biflora"
12.292933,64.237966,"Viola biflora"
15.527829,64.741969,"Viola biflora"
13.67023,63.733489,"Viola biflora"
18.768241,68.478203,"Viola biflora"
12.732366,64.992015,"Viola biflora"
7.385136,45.179262,"Viola biflora"
10.690653,60.283859,"Viola biflora"
8.942297,46.747689,"Viola biflora"
8.048052,61.276194,"Viola biflora"
16.655313,68.515751,"Viola biflora"
19.144482,69.732784,"Viola biflora"
10.135018,61.142561,"Viola biflora"
18.571609,69.075249,"Viola biflora"
12.824542,65.026197,"Viola biflora"
15.806639,64.677885,"Viola biflora"
16.705008,66.547387,"Viola biflora"
12.54938,65.256289,"Viola biflora"
11.106749,47.585066,"Viola biflora"
10.394496,61.020227,"Viola biflora"
11.722368,63.163799,"Viola biflora"
7.687198,62.622997,"Viola biflora"
13.922288,66.872953,"Viola biflora"
14.981572,63.329964,"Viola biflora"
10.30038,61.104372,"Viola biflora"
14.539278,68.269477,"Viola biflora"
9.993326,62.335466,"Viola biflora"
13.923168,66.87218,"Viola biflora"
10.336456,61.073433,"Viola biflora"
10.150002,62.282655,"Viola biflora"
11.670742,63.181937,"Viola biflora"
14.483142,67.319548,"Viola biflora"
8.985551,62.108929,"Viola biflora"
19.028096,69.62051,"Viola biflora"
19.670832,69.715633,"Viola biflora"
11.751806,63.16077,"Viola biflora"
9.011207,62.104306,"Viola biflora"
6.4012,44.402,"Viola biflora"
10.362345,61.043629,"Viola biflora"
10.352096,61.047169,"Viola biflora"
20.770702,67.182907,"Viola biflora"
18.780188,68.364304,"Viola biflora"
14.804254,67.284704,"Viola biflora"
9.770966,62.967038,"Viola biflora"
0.26954,42.89528,"Viola biflora"
19.460204,69.297583,"Viola biflora"
14.970954,63.354159,"Viola biflora"
10.399509,61.021537,"Viola biflora"
7.689579,62.62963,"Viola biflora"
10.017949,62.382343,"Viola biflora"
12.846334,65.013775,"Viola biflora"
10.389061,61.02789,"Viola biflora"
19.205657,69.715596,"Viola biflora"
10.521212,61.07882,"Viola biflora"
18.889513,69.835854,"Viola biflora"
10.37405,61.041559,"Viola biflora"
16.905611,66.689988,"Viola biflora"
8.937622,46.754542,"Viola biflora"
10.331425,61.076583,"Viola biflora"
18.980791,69.624488,"Viola biflora"
18.999431,69.627147,"Viola biflora"
12.870146,65.006639,"Viola biflora"
18.879596,68.286223,"Viola biflora"
20.762348,67.192004,"Viola biflora"
19.012852,69.649476,"Viola biflora"
14.869463,63.338269,"Viola biflora"
20.762806,67.192906,"Viola biflora"
14.474042,65.088506,"Viola biflora"
9.607338,62.30186,"Viola biflora"
17.396936,68.273364,"Viola biflora"
13.354894,68.066208,"Viola biflora"
14.709104,65.856774,"Viola biflora"
14.502932,67.328393,"Viola biflora"
10.164303,61.441601,"Viola biflora"
10.177724,61.127786,"Viola biflora"
20.769786,67.1819,"Viola biflora"
27.105364,70.459055,"Viola biflora"
14.509885,67.332832,"Viola biflora"
14.444416,67.305651,"Viola biflora"
10.35676,47.485367,"Viola biflora"
12.840864,65.018427,"Viola biflora"
18.980243,69.599668,"Viola biflora"
25.177235,70.304205,"Viola biflora"
10.20744,62.40267,"Viola biflora"
12.274868,63.617865,"Viola biflora"
10.184407,61.127413,"Viola biflora"
8.654298,62.287192,"Viola biflora"
-135.329024,57.138898,"Viola biflora"
12.352832,64.32594,"Viola biflora"
8.986306,61.870211,"Viola biflora"
18.948452,69.655867,"Viola biflora"
18.198026,65.207996,"Viola biflora"
8.980862,61.873447,"Viola biflora"
11.754959,64.154051,"Viola biflora"
10.407809,61.025366,"Viola biflora"
18.725113,68.385184,"Viola biflora"
28.631343,70.196619,"Viola biflora"
16.640868,66.295361,"Viola biflora"
21.799291,67.443019,"Viola biflora"
18.688389,68.400973,"Viola biflora"
12.269478,64.302275,"Viola biflora"
15.580659,68.80528,"Viola biflora"
10.349526,61.047682,"Viola biflora"
12.705797,65.030499,"Viola biflora"
20.766651,67.183168,"Viola biflora"
16.808027,65.11298,"Viola biflora"
15.691205,66.565818,"Viola biflora"
15.202028,65.886716,"Viola biflora"
9.605488,62.301095,"Viola biflora"
6.24582,45.94541,"Viola biflora"
12.489529,62.893732,"Viola biflora"
15.204319,65.329566,"Viola biflora"
12.578453,62.906512,"Viola biflora"
15.820518,66.342561,"Viola biflora"
15.681495,66.667057,"Viola biflora"
7.509431,60.614099,"Viola biflora"
14.96498,64.787449,"Viola biflora"
14.935327,64.79007,"Viola biflora"
18.303461,68.391454,"Viola biflora"
15.589624,65.37593,"Viola biflora"
17.848716,66.12236,"Viola biflora"
15.69673,65.232823,"Viola biflora"
18.651864,68.409341,"Viola biflora"
18.448719,68.525599,"Viola biflora"
14.604235,65.671561,"Viola biflora"
15.820608,66.069324,"Viola biflora"
14.964343,64.809852,"Viola biflora"
14.948892,64.793529,"Viola biflora"
16.552429,67.295216,"Viola biflora"
18.648747,68.421211,"Viola biflora"
20.8361,67.15512,"Viola biflora"
18.41973,68.529134,"Viola biflora"
13.556925,64.110731,"Viola biflora"
12.490257,62.892352,"Viola biflora"
15.20298,65.890555,"Viola biflora"
18.733943,68.365454,"Viola biflora"
18.714854,68.366278,"Viola biflora"
15.070272,65.773464,"Viola biflora"
16.330402,68.862293,"Viola biflora"
15.501005,66.715374,"Viola biflora"
23.252945,70.052479,"Viola biflora"
9.050589,61.76548,"Viola biflora"
19.184412,65.284296,"Viola biflora"
14.990843,64.791218,"Viola biflora"
12.486798,62.89209,"Viola biflora"
12.24278,62.569582,"Viola biflora"
15.82121,66.338762,"Viola biflora"
15.577416,66.686672,"Viola biflora"
12.493553,62.891079,"Viola biflora"
15.202477,65.88825,"Viola biflora"
12.491784,63.180705,"Viola biflora"
18.613605,67.866521,"Viola biflora"
15.56086,66.38719,"Viola biflora"
16.695163,66.258298,"Viola biflora"
16.625741,67.288423,"Viola biflora"
14.484642,65.090704,"Viola biflora"
15.43479,67.63756,"Viola biflora"
15.434826,67.607564,"Viola biflora"
15.37693,65.407056,"Viola biflora"
15.771326,66.576108,"Viola biflora"
14.933072,64.7895,"Viola biflora"
9.019822,61.764095,"Viola biflora"
8.027274,61.263814,"Viola biflora"
12.303191,62.719427,"Viola biflora"
16.294487,66.120974,"Viola biflora"
10.508304,62.326101,"Viola biflora"
15.788134,66.988601,"Viola biflora"
9.834989,62.32492,"Viola biflora"
13.235903,64.86828,"Viola biflora"
12.20993,62.583858,"Viola biflora"
10.435081,46.649208,"Viola biflora"
15.984586,65.236059,"Viola biflora"
15.807331,66.335892,"Viola biflora"
15.642283,66.544899,"Viola biflora"
10.893474,62.593624,"Viola biflora"
12.265893,62.566387,"Viola biflora"
15.435761,65.242282,"Viola biflora"
15.042451,65.32534,"Viola biflora"
12.706301,62.880189,"Viola biflora"
15.759424,66.087271,"Viola biflora"
15.818263,66.337435,"Viola biflora"
14.964441,64.805386,"Viola biflora"
18.848083,68.329809,"Viola biflora"
15.582294,66.393364,"Viola biflora"
6.7867,45.45017,"Viola biflora"
13.04,47.57,"Viola biflora"
14.460307,65.088264,"Viola biflora"
14.907282,64.811232,"Viola biflora"
9.010336,61.763015,"Viola biflora"
10.188063,62.361143,"Viola biflora"
9.640163,62.72545,"Viola biflora"
21.802543,66.917802,"Viola biflora"
17.753674,67.814493,"Viola biflora"
12.93406,62.690319,"Viola biflora"
15.636211,65.239366,"Viola biflora"
15.804779,66.345326,"Viola biflora"
14.964513,64.803153,"Viola biflora"
12.736997,62.740785,"Viola biflora"
14.375245,65.079786,"Viola biflora"
12.454647,62.726306,"Viola biflora"
15.803198,66.342287,"Viola biflora"
14.91657,64.809038,"Viola biflora"
10.214933,46.490672,"Viola biflora"
12.173933,62.100574,"Viola biflora"
8.912096,61.549599,"Viola biflora"
12.711844,62.868639,"Viola biflora"
15.602901,66.536352,"Viola biflora"
15.720796,66.560565,"Viola biflora"
15.204911,65.890228,"Viola biflora"
23.319447,70.072874,"Viola biflora"
18.463424,68.553663,"Viola biflora"
14.713776,65.853834,"Viola biflora"
18.676289,68.419457,"Viola biflora"
14.96454,64.804246,"Viola biflora"
14.980539,64.801531,"Viola biflora"
15.888808,66.985532,"Viola biflora"
15.513968,67.602847,"Viola biflora"
21.700611,68.464539,"Viola biflora"
14.978464,64.794271,"Viola biflora"
14.964118,64.816596,"Viola biflora"
14.921466,67.67405,"Viola biflora"
15.716448,65.239517,"Viola biflora"
18.644956,68.410194,"Viola biflora"
18.984438,68.447287,"Viola biflora"
18.720783,68.368752,"Viola biflora"
23.281592,70.054474,"Viola biflora"
15.823231,66.980952,"Viola biflora"
15.200734,65.887006,"Viola biflora"
18.777215,68.359117,"Viola biflora"
18.685533,68.360151,"Viola biflora"
15.699102,66.562706,"Viola biflora"
16.31398,66.114155,"Viola biflora"
15.441294,67.614937,"Viola biflora"
15.421352,67.61169,"Viola biflora"
14.020977,62.988497,"Viola biflora"
18.219505,68.403681,"Viola biflora"
15.282912,65.317587,"Viola biflora"
15.688582,66.562563,"Viola biflora"
15.001416,64.788765,"Viola biflora"
14.965178,64.781854,"Viola biflora"
13.573283,64.111971,"Viola biflora"
11.618657,63.382797,"Viola biflora"
19.876861,65.316327,"Viola biflora"
15.697062,66.564799,"Viola biflora"
18.727403,68.3645,"Viola biflora"
14.675166,65.887619,"Viola biflora"
14.364502,65.048162,"Viola biflora"
10.636206,61.169954,"Viola biflora"
21.080531,69.366595,"Viola biflora"
13.987056,62.994482,"Viola biflora"
12.489996,62.888918,"Viola biflora"
15.551499,66.381839,"Viola biflora"
21.801654,68.257344,"Viola biflora"
13.521478,62.8132,"Viola biflora"
6.77288,45.39679,"Viola biflora"
15.202217,65.890889,"Viola biflora"
16.332621,66.094516,"Viola biflora"
15.581997,66.374669,"Viola biflora"
15.054156,64.857881,"Viola biflora"
12.346634,63.173887,"Viola biflora"
15.104722,65.773483,"Viola biflora"
15.731243,66.566811,"Viola biflora"
12.094513,63.334012,"Viola biflora"
14.980773,64.79372,"Viola biflora"
15.276633,67.639689,"Viola biflora"
15.469169,67.616904,"Viola biflora"
15.703872,66.564142,"Viola biflora"
15.612082,66.669316,"Viola biflora"
15.776896,66.996926,"Viola biflora"
15.477146,67.621057,"Viola biflora"
14.704523,65.863794,"Viola biflora"
16.736512,67.800863,"Viola biflora"
12.491236,62.890993,"Viola biflora"
18.998362,69.622221,"Viola biflora"
12.699304,62.880438,"Viola biflora"
7.48863,44.11658,"Viola biflora"
19.074351,65.89615,"Viola biflora"
12.300065,62.723182,"Viola biflora"
18.123107,68.462396,"Viola biflora"
14.964397,64.807646,"Viola biflora"
14.925697,64.806831,"Viola biflora"
18.768061,68.353352,"Viola biflora"
15.195371,65.888045,"Viola biflora"
12.486978,62.893372,"Viola biflora"
14.63661,67.421458,"Viola biflora"
21.416007,68.560421,"Viola biflora"
15.290198,67.641968,"Viola biflora"
16.632595,65.201098,"Viola biflora"
20.7618,67.191026,"Viola biflora"
18.266577,68.406402,"Viola biflora"
14.037703,64.779029,"Viola biflora"
15.685393,66.601953,"Viola biflora"
8.932937,61.536497,"Viola biflora"
15.682222,66.669028,"Viola biflora"
9.474855,62.038502,"Viola biflora"
16.024346,65.618501,"Viola biflora"
13.02,47.56,"Viola biflora"
9.791592,62.550321,"Viola biflora"
12.460891,62.717862,"Viola biflora"
14.693698,65.868687,"Viola biflora"
16.7322,67.807352,"Viola biflora"
17.244393,66.491845,"Viola biflora"
9.49618,62.4692,"Viola biflora"
9.28034,62.75889,"Viola biflora"
9.49512,62.4696,"Viola biflora"
10.277023,61.132757,"Viola biflora"
6.51834,45.92442,"Viola biflora"
20.774125,67.188153,"Viola biflora"
17.929942,67.36811,"Viola biflora"
14.678391,62.883084,"Viola biflora"
19.106977,69.606863,"Viola biflora"
9.971372,62.941108,"Viola biflora"
9.32005,62.74394,"Viola biflora"
15.041463,65.158491,"Viola biflora"
8.628983,60.777378,"Viola biflora"
9.64855,62.4892,"Viola biflora"
9.46343,62.46535,"Viola biflora"
10.499267,62.994841,"Viola biflora"
17.149459,66.185141,"Viola biflora"
9.68303,62.44563,"Viola biflora"
9.71415,62.40829,"Viola biflora"
9.70332,62.42022,"Viola biflora"
17.201498,66.286522,"Viola biflora"
14.697884,66.672191,"Viola biflora"
9.69213,62.43191,"Viola biflora"
9.48497,62.468,"Viola biflora"
10.669641,62.935926,"Viola biflora"
9.106375,61.780746,"Viola biflora"
10.194702,61.366401,"Viola biflora"
10.145402,61.4081,"Viola biflora"
14.539978,65.443702,"Viola biflora"
18.509903,68.335899,"Viola biflora"
15.913808,66.759041,"Viola biflora"
9.69807,62.42511,"Viola biflora"
14.436852,66.924905,"Viola biflora"
16.438155,67.511859,"Viola biflora"
9.69996,62.42389,"Viola biflora"
14.691102,66.67155,"Viola biflora"
9.237376,63.051415,"Viola biflora"
9.975073,62.933903,"Viola biflora"
9.69436,62.42557,"Viola biflora"
9.69854,62.42689,"Viola biflora"
