"lon","lat","species.name"
-3.38,37.1,"Viola crassiuscula"
-3.37,37.09,"Viola crassiuscula"
-3.32,37.04,"Viola crassiuscula"
-3.01,37.09,"Viola crassiuscula"
-3.366,37.059,"Viola crassiuscula"
-3.36,37.04,"Viola crassiuscula"
-3.296621,37.029363,"Viola crassiuscula"
-3.370472,37.049059,"Viola crassiuscula"
-3.327772,37.054629,"Viola crassiuscula"
-3.399129,37.038744,"Viola crassiuscula"
-3.377409,37.051074,"Viola crassiuscula"
-3.40114,37.038484,"Viola crassiuscula"
-3.333184,37.055263,"Viola crassiuscula"
-3.311207,37.046768,"Viola crassiuscula"
-3.279657,37.109676,"Viola crassiuscula"
-3.303066,37.067026,"Viola crassiuscula"
-3.33,37.04,"Viola crassiuscula"
-3.45,37.049999,"Viola crassiuscula"
-3.366667,37.066667,"Viola crassiuscula"
-3,37.049999,"Viola crassiuscula"
-3.42,37.04,"Viola crassiuscula"
-3.39,37.04,"Viola crassiuscula"
-3.22,37.049999,"Viola crassiuscula"
-3.35,37.04,"Viola crassiuscula"
-3.34,37.049999,"Viola crassiuscula"
-3.45,37.04,"Viola crassiuscula"
-3.34,36.959999,"Viola crassiuscula"
-3.36,37.06,"Viola crassiuscula"
-3.364442,37.057985,"Viola crassiuscula"
-6.122048,38.19991,"Viola crassiuscula"
-3.39,37.09,"Viola crassiuscula"
-3.26,37.09,"Viola crassiuscula"
-3.16667,37.08333,"Viola crassiuscula"
-3.44,36.95,"Viola crassiuscula"
-2.94,37.09,"Viola crassiuscula"
-3.3911461059324,37.0887585193276,"Viola crassiuscula"
-3.24,43.35,"Viola crassiuscula"
-3.56,37.04,"Viola crassiuscula"
-3.28114405206383,37.0887596307381,"Viola crassiuscula"
-2.83113561581966,37.0887641641336,"Viola crassiuscula"
-3.6,37.18,"Viola crassiuscula"
-3.44,37.04,"Viola crassiuscula"
-3.402471,37.041292,"Viola crassiuscula"
-3.28,37.09,"Viola crassiuscula"
-2.83,37.09,"Viola crassiuscula"
-3.40425,37.071493,"Viola crassiuscula"
-3.17,37.09,"Viola crassiuscula"
-3.389033,37.052199,"Viola crassiuscula"
-3.22,37.04,"Viola crassiuscula"
-3.395784,37.037673,"Viola crassiuscula"
-3.332,37.059,"Viola crassiuscula"
-2.54,37.94,"Viola crassiuscula"
-3.11,36.68,"Viola crassiuscula"
-3.367275,37.071848,"Viola crassiuscula"
-3.402238,37.024986,"Viola crassiuscula"
