"lon","lat","species.name"
167.809969,-45.232871,"Viola cunninghamii"
169.806919,-44.272326,"Viola cunninghamii"
172.835845,-42.093727,"Viola cunninghamii"
171.450158,-42.196875,"Viola cunninghamii"
167.060637,-46.05243,"Viola cunninghamii"
169.738512,-45.71128,"Viola cunninghamii"
172.688342,-41.226908,"Viola cunninghamii"
174.307291,-41.183749,"Viola cunninghamii"
169.160035,-45.358652,"Viola cunninghamii"
168.814329,-45.15227,"Viola cunninghamii"
168.609881,-46.576081,"Viola cunninghamii"
176.363665,-39.359238,"Viola cunninghamii"
171.705644,-43.436514,"Viola cunninghamii"
170.460036,-45.834951,"Viola cunninghamii"
176.168025,-39.786181,"Viola cunninghamii"
172.860099,-41.874969,"Viola cunninghamii"
172.887897,-41.828738,"Viola cunninghamii"
172.842083,-42.484782,"Viola cunninghamii"
167.797574,-45.253489,"Viola cunninghamii"
168.173196,-44.767444,"Viola cunninghamii"
172.181854,-43.302795,"Viola cunninghamii"
174.726123,-41.329216,"Viola cunninghamii"
169.866861,-45.755475,"Viola cunninghamii"
172.193871,-41.588229,"Viola cunninghamii"
169.870369,-45.7572,"Viola cunninghamii"
173.138266,-42.457028,"Viola cunninghamii"
176.143574,-39.954392,"Viola cunninghamii"
172.636215,-41.133808,"Viola cunninghamii"
175.532995,-39.204499,"Viola cunninghamii"
172.388213,-43.747064,"Viola cunninghamii"
171.586216,-43.030618,"Viola cunninghamii"
173.021407,-43.809862,"Viola cunninghamii"
168.450382,-45.259758,"Viola cunninghamii"
172.893047,-42.12816,"Viola cunninghamii"
171.624477,-43.030782,"Viola cunninghamii"
171.7343,-43.1482,"Viola cunninghamii"
171.7321,-43.1492,"Viola cunninghamii"
171.7327,-43.1492,"Viola cunninghamii"
171.71339,-43.225118,"Viola cunninghamii"
170.440865,-45.127229,"Viola cunninghamii"
171.558326,-42.919279,"Viola cunninghamii"
168.6332,-44.2626,"Viola cunninghamii"
169.9628,-44.3335,"Viola cunninghamii"
169.9588,-44.3153,"Viola cunninghamii"
172.1407,-41.5417,"Viola cunninghamii"
172.2765,-41.2378,"Viola cunninghamii"
172.2926,-41.2139,"Viola cunninghamii"
172.28,-41.2685,"Viola cunninghamii"
175.6835,-39.0873,"Viola cunninghamii"
175.676,-39.0893,"Viola cunninghamii"
170.3804,-43.6738,"Viola cunninghamii"
170.3839,-43.6758,"Viola cunninghamii"
170.3809,-43.6749,"Viola cunninghamii"
170.3792,-43.6827,"Viola cunninghamii"
170.3869,-43.662,"Viola cunninghamii"
170.383,-43.6707,"Viola cunninghamii"
170.3798,-43.6804,"Viola cunninghamii"
170.3823,-43.6669,"Viola cunninghamii"
170.3818,-43.6684,"Viola cunninghamii"
170.382,-43.6857,"Viola cunninghamii"
170.3823,-43.6756,"Viola cunninghamii"
170.3816,-43.6719,"Viola cunninghamii"
170.3763,-43.683,"Viola cunninghamii"
170.3742,-43.6781,"Viola cunninghamii"
170.3794,-43.6701,"Viola cunninghamii"
170.3992,-43.6473,"Viola cunninghamii"
170.3717,-43.664,"Viola cunninghamii"
170.3983,-43.6486,"Viola cunninghamii"
170.3983,-43.6471,"Viola cunninghamii"
170.3806,-43.6806,"Viola cunninghamii"
170.377,-43.6786,"Viola cunninghamii"
170.3862,-43.6652,"Viola cunninghamii"
170.3849,-43.6608,"Viola cunninghamii"
170.3735,-43.662,"Viola cunninghamii"
170.3917,-43.6475,"Viola cunninghamii"
170.3905,-43.6456,"Viola cunninghamii"
170.3829,-43.6686,"Viola cunninghamii"
170.3964,-43.6388,"Viola cunninghamii"
170.3785,-43.673,"Viola cunninghamii"
170.3816,-43.6707,"Viola cunninghamii"
170.3742,-43.6783,"Viola cunninghamii"
170.3839,-43.6744,"Viola cunninghamii"
170.378,-43.6752,"Viola cunninghamii"
170.3839,-43.6633,"Viola cunninghamii"
170.3818,-43.6743,"Viola cunninghamii"
170.3791,-43.6763,"Viola cunninghamii"
170.3794,-43.6713,"Viola cunninghamii"
170.3841,-43.674,"Viola cunninghamii"
170.3735,-43.6624,"Viola cunninghamii"
170.379,-43.6609,"Viola cunninghamii"
170.377,-43.6695,"Viola cunninghamii"
170.3805,-43.6676,"Viola cunninghamii"
170.3709,-43.6795,"Viola cunninghamii"
170.395,-43.6422,"Viola cunninghamii"
170.3957,-43.6535,"Viola cunninghamii"
170.3882,-43.6564,"Viola cunninghamii"
170.3795,-43.6757,"Viola cunninghamii"
170.3802,-43.682,"Viola cunninghamii"
170.396,-43.6441,"Viola cunninghamii"
170.4,-43.647,"Viola cunninghamii"
170.386,-43.6636,"Viola cunninghamii"
170.3828,-43.6606,"Viola cunninghamii"
170.3822,-43.6613,"Viola cunninghamii"
170.383,-43.685,"Viola cunninghamii"
170.3777,-43.6842,"Viola cunninghamii"
170.383,-43.6612,"Viola cunninghamii"
170.381,-43.6807,"Viola cunninghamii"
171.954999,-43.444518,"Viola cunninghamii"
169.2701,-45.3101,"Viola cunninghamii"
169.2401,-45.2524,"Viola cunninghamii"
169.2904,-45.3008,"Viola cunninghamii"
169.2487,-45.2891,"Viola cunninghamii"
170.6199,-44.2751,"Viola cunninghamii"
170.6361,-44.2521,"Viola cunninghamii"
170.6227,-44.2716,"Viola cunninghamii"
168.170492,-45.784075,"Viola cunninghamii"
170.5944,-44.317,"Viola cunninghamii"
168.584867,-46.482985,"Viola cunninghamii"
170.6199,-44.2057,"Viola cunninghamii"
170.3773,-44.4081,"Viola cunninghamii"
145.93437,-41.56529,"Viola cunninghamii"
171.8773,-43.1968,"Viola cunninghamii"
171.8787,-43.1975,"Viola cunninghamii"
171.8808,-43.1973,"Viola cunninghamii"
171.7349,-43.1475,"Viola cunninghamii"
171.7334,-43.1486,"Viola cunninghamii"
171.7364,-43.1474,"Viola cunninghamii"
171.7357,-43.1462,"Viola cunninghamii"
171.7336,-43.1488,"Viola cunninghamii"
171.7329,-43.1482,"Viola cunninghamii"
171.7366,-43.1474,"Viola cunninghamii"
171.7342,-43.1478,"Viola cunninghamii"
170.5081,-44.2786,"Viola cunninghamii"
171.1325,-43.178,"Viola cunninghamii"
171.1461,-43.2306,"Viola cunninghamii"
171.7348,-43.0226,"Viola cunninghamii"
171.7333,-43.0423,"Viola cunninghamii"
171.7195,-43.0248,"Viola cunninghamii"
171.7302,-43.0242,"Viola cunninghamii"
170.5175,-44.3025,"Viola cunninghamii"
170.4834,-44.3098,"Viola cunninghamii"
170.4919,-44.3294,"Viola cunninghamii"
170.4709,-44.3445,"Viola cunninghamii"
170.4899,-44.3045,"Viola cunninghamii"
171.2266,-43.4054,"Viola cunninghamii"
171.2344,-43.3247,"Viola cunninghamii"
171.1368,-43.3215,"Viola cunninghamii"
171.1381,-43.3528,"Viola cunninghamii"
171.1435,-43.3257,"Viola cunninghamii"
171.2154,-43.381,"Viola cunninghamii"
171.2066,-43.3854,"Viola cunninghamii"
171.1194,-43.8972,"Viola cunninghamii"
176.063,-39.8345,"Viola cunninghamii"
176.0628,-39.8344,"Viola cunninghamii"
170.0012,-44.5481,"Viola cunninghamii"
171.0609,-43.9408,"Viola cunninghamii"
171.047,-43.9546,"Viola cunninghamii"
170.0016,-44.5334,"Viola cunninghamii"
170.6186,-44.1793,"Viola cunninghamii"
171.3948,-43.5103,"Viola cunninghamii"
170.892,-43.5215,"Viola cunninghamii"
170.9187,-43.5556,"Viola cunninghamii"
170.888,-43.5245,"Viola cunninghamii"
175.3364,-40.947,"Viola cunninghamii"
175.3404,-40.9416,"Viola cunninghamii"
175.3592,-40.8575,"Viola cunninghamii"
175.3547,-40.9216,"Viola cunninghamii"
175.3385,-40.9485,"Viola cunninghamii"
175.3623,-40.8565,"Viola cunninghamii"
175.3538,-40.9196,"Viola cunninghamii"
170.7398,-44.1615,"Viola cunninghamii"
171.749,-43.2841,"Viola cunninghamii"
171.2391,-43.3445,"Viola cunninghamii"
170.6043,-44.2879,"Viola cunninghamii"
176.0338,-39.1687,"Viola cunninghamii"
175.5636,-39.3524,"Viola cunninghamii"
175.532,-39.3441,"Viola cunninghamii"
172.887,-43.8493,"Viola cunninghamii"
175.9912,-39.1909,"Viola cunninghamii"
168.284,-45.6285,"Viola cunninghamii"
167.1817,-46.2584,"Viola cunninghamii"
175.3811,-40.7782,"Viola cunninghamii"
175.355,-40.8519,"Viola cunninghamii"
175.374,-40.7793,"Viola cunninghamii"
175.348,-40.7522,"Viola cunninghamii"
175.3933,-40.7564,"Viola cunninghamii"
175.3534,-40.7516,"Viola cunninghamii"
171.111,-43.6085,"Viola cunninghamii"
174.1675,-40.9397,"Viola cunninghamii"
175.3378,-40.8962,"Viola cunninghamii"
175.3311,-40.9063,"Viola cunninghamii"
175.3453,-40.906,"Viola cunninghamii"
171.2198,-43.7538,"Viola cunninghamii"
171.2156,-43.7249,"Viola cunninghamii"
176.3087,-39.6623,"Viola cunninghamii"
176.3042,-39.5677,"Viola cunninghamii"
168.519,-44.7113,"Viola cunninghamii"
171.737,-43.293,"Viola cunninghamii"
175.4202,-40.79,"Viola cunninghamii"
175.4222,-40.8008,"Viola cunninghamii"
175.3965,-40.8112,"Viola cunninghamii"
175.3984,-40.831,"Viola cunninghamii"
175.4179,-40.8135,"Viola cunninghamii"
175.4025,-40.812,"Viola cunninghamii"
170.844,-43.1968,"Viola cunninghamii"
175.4203,-40.8143,"Viola cunninghamii"
172.6,-42.1,"Viola cunninghamii"
170.6391,-43.5017,"Viola cunninghamii"
170.6458,-43.5108,"Viola cunninghamii"
170.6516,-43.5018,"Viola cunninghamii"
170.6572,-43.5052,"Viola cunninghamii"
170.6493,-43.5043,"Viola cunninghamii"
170.6651,-43.5036,"Viola cunninghamii"
170.6481,-43.51,"Viola cunninghamii"
170.6515,-43.5092,"Viola cunninghamii"
170.6392,-43.4984,"Viola cunninghamii"
170.6414,-43.4993,"Viola cunninghamii"
170.6435,-43.5108,"Viola cunninghamii"
170.6651,-43.5019,"Viola cunninghamii"
170.6505,-43.501,"Viola cunninghamii"
170.6492,-43.5092,"Viola cunninghamii"
170.6675,-43.4921,"Viola cunninghamii"
170.6449,-43.4919,"Viola cunninghamii"
170.6641,-43.4961,"Viola cunninghamii"
170.6629,-43.497,"Viola cunninghamii"
170.6653,-43.492,"Viola cunninghamii"
170.6561,-43.5035,"Viola cunninghamii"
170.6651,-43.5011,"Viola cunninghamii"
170.648,-43.5133,"Viola cunninghamii"
170.6403,-43.5017,"Viola cunninghamii"
170.6664,-43.4904,"Viola cunninghamii"
170.6993,-43.4865,"Viola cunninghamii"
170.7014,-43.4964,"Viola cunninghamii"
170.6676,-43.4879,"Viola cunninghamii"
170.6664,-43.4912,"Viola cunninghamii"
170.6676,-43.4904,"Viola cunninghamii"
170.6956,-43.5063,"Viola cunninghamii"
