"lon","lat","species.name"
-67.9231,-22.6796,"Werneria glaberrima"
-67.9815,-22.678,"Werneria glaberrima"
-70.737778,-16.21,"Werneria glaberrima"
-68.7475,-20.618611,"Werneria glaberrima"
-68.05,-22.4167,"Werneria glaberrima"
-68,-22.3333,"Werneria glaberrima"
-67.9333,-22.6667,"Werneria glaberrima"
-68,-22.3833,"Werneria glaberrima"
-69.4667,-18.3167,"Werneria glaberrima"
-67.83,-22.92,"Werneria glaberrima"
-66.1667,-26.5833,"Werneria glaberrima"
-70,-20,"Werneria glaberrima"
-69,-20.116667,"Werneria glaberrima"
-70.8906,-35.8156,"Werneria glaberrima"
