"lon","lat","species.name"
-69.7772,-30.2977,"Werneria pygmaea"
-78.200833,-0.4925,"Werneria pygmaea"
-70.3501,-16.8998,"Werneria pygmaea"
-71.1802,-16.3836,"Werneria pygmaea"
-68.4663,-21.0363,"Werneria pygmaea"
-69.5425,-18.1346,"Werneria pygmaea"
-70.4043,-16.8733,"Werneria pygmaea"
-70.4558,-16.7258,"Werneria pygmaea"
-68.0376,-22.5361,"Werneria pygmaea"
-75.488808,4.80735,"Werneria pygmaea"
-72.341,6.3795,"Werneria pygmaea"
-72.26862,6.42249,"Werneria pygmaea"
-72.2801,6.479117,"Werneria pygmaea"
-79.016667,-8.116667,"Werneria pygmaea"
-70.718889,-16.142222,"Werneria pygmaea"
-70.561389,-16.101389,"Werneria pygmaea"
-70.723056,-16.125,"Werneria pygmaea"
-70.529633,-16.162881,"Werneria pygmaea"
-64.814722,-20.1175,"Werneria pygmaea"
-72.06756,-47.73192,"Werneria pygmaea"
-72.11786,-47.92071,"Werneria pygmaea"
-72.36557,-47.74994,"Werneria pygmaea"
-71.52,-15.75,"Werneria pygmaea"
-67.76666,-28.84972,"Werneria pygmaea"
-69.35527,-32.98,"Werneria pygmaea"
-79.241667,-2.7775,"Werneria pygmaea"
-68.950833,-19.564444,"Werneria pygmaea"
-71.97277,-13.6875,"Werneria pygmaea"
-73.745325,4.472121,"Werneria pygmaea"
-65.17,-22.17,"Werneria pygmaea"
-66.85,-22.56666,"Werneria pygmaea"
-66.21666,-22.91666,"Werneria pygmaea"
-78.21666,-0.53333,"Werneria pygmaea"
-78.2167,-0.533333,"Werneria pygmaea"
-78.38333,-1.08333,"Werneria pygmaea"
-66.55,-22.61666,"Werneria pygmaea"
-68.15,-16.32,"Werneria pygmaea"
-67.5,-17,"Werneria pygmaea"
-68.3333,-16.1667,"Werneria pygmaea"
-68.0667,-16.3333,"Werneria pygmaea"
-68.0167,-16.3167,"Werneria pygmaea"
-68.5833,-15.8333,"Werneria pygmaea"
-67.5,-16.9667,"Werneria pygmaea"
-67.5,-16.9167,"Werneria pygmaea"
-68.3833,-16.1667,"Werneria pygmaea"
-68.15,-16.3667,"Werneria pygmaea"
-68.1167,-16.3,"Werneria pygmaea"
